연번,시도명,시군구명,서비스제공기관명,전화번호,우편번호,주소,,,,
1,서울,강남구,강남구건강가정지원세터,02-3414-2830,6336,서울특별시 개포로 617-8 강남구건강가정지원센터 3층,,,,
2,서울,강동구,강동구건강가정·다문화가족지원센터,02-476-0027,05292,서울특별시 강동구 양재대로138길 41 2층,,,,
3,서울,강북구,강북구건강가정지원센터,02-945-7847,01036,"서울특별시 강북구 인수봉로 66길 9, 4층",,,,
4,서울,강서구,강서구건강가정지원센터,02-2606-2034,7781,서울시 강서구 강서로 5길 50 곰달래문화복지센터 4층,,,,
5,서울,관악구,관악구건강가정·다문화가족지원센터,02-883-9395,08790,"서울특별시 관악구 낙성대로 4가길 5, 4층",,,,
6,서울,광진구,광진구건강가정지원센터,02-458-0183,04989,"서울특별시 광진구 능동로30길 23 (능동, 새마을회관2층좌측)",,,,
7,서울,구로구,구로구건강가정·다문화가족지원센터,02-830-0456,8372,서울특별시구로구 디지털로31길 109 구로3동주민센터 4층,,,,
8,서울,금천구,금천구건강가정지원센터,02-803-7748,08627,서울특별시 금천구 금하로 11길 40(시흥1동 841번지) 1층,,,,
9,서울,노원구,노원구건강가정지원센터,02-930-1955,01857,서울시 노원구 동일로 173가길 94 가온빌딩 3층,,,,
10,서울,도봉구,도봉구건강가정·다문화가족지원센터,02-995-6032,1427,서울특별시 도봉구 도봉로 552(창5동 303 도봉구민회관 2층),,,,
11,서울,동대문구,동대문구건강가정지원센터,02-957-0756,02589,서울시 동대문구 청계천로 521 다사랑행복센터 7층,,,,
12,서울,동작구,동작구건강가정·다문화가족지원센터,02-588-3523,7008,서울특별시 동작구 동작대로 29길 63-26 3층,,,,
13,서울,마포구,마포구건강가정지원센터,02-3142-5481,04103,서울시 마포구 신촌로 26길 10 우리마포복지관 2층 건강가정지원센터,,,,
14,서울,서대문구,서대문구건강가정·다문화가족지원센터,02-322-7554,03676,서울특별시 서대문구 증가로30길 45-9 휴먼센터 2층,,,,
15,서울,서초구,서초구건강가정·다문화가족지원센터,02-576-2854,6749,서울 특별시 강남대로 021 서초문화예술회관 2층,,,,
16,서울,성동구,성동구건강가정지원센터,02-3395-9446,04707,서울특별시 성동구 무학로6길 9(홍익동) 3층,,,,
17,서울,성북구,협동조합 에듀닥터바른배움,02-921-1663,02803,"서울특별시 성북구 종암동 종암로25길 29, 성북구마을사회적경제센터 4층",,,,
18,서울,송파구,송파구건강가정지원센터,02-430-3844,57771,"서울시 송파구 양산로5, 보건지소 2층 건강가정지원센터",,,,
19,서울,양천구,양천구건강가정지원센터,02-2065-0848,8024,서울특별시 양천구 중앙로 46길 57,,,,
20,서울,영등포구,영등포구건강가정·다문화가족지원센터,02-2678-2193,7356,서울특별시 영등포구 영등포로84길 24-5 4층,,,,
21,서울,용산구,용산구건강가정지원센터,02-797-9184,04400,서울특별시 용산구 이태원로 224-19 3층 ,,,,
22,서울,은평구,은평구건강가정지원센터,02-376-3752,03336,서울특별시 은평구 서오릉로 174 3층,,,,
23,서울,종로구,종로구건강가정·다문화가족지원센터,02-764-3523,3090,서울시 종로구 창신2동 96-2번지 동부여성문화센터2층,,,,
24,서울,중구,중구건강가정지원센터,02-2279-3890,4579,"서울특별시 중구 퇴계로 460, 중구종합복지센터 10층",,,,
25,서울,중랑구,중랑구건강가정지원센터,02-435-4147,2208,서울특별시 중랑구 용마산로 369 중랑구건강가정지원센터,,,,
26,부산,금정구,금정구건강가정지원센터,051-532-0077,46216,"부산광역시 금정구 중앙대로 1992 , 2층 ",,,,
27,부산,남구,남구종합사회복지관,051-647-3644,48457,부산광역시 남구 지게골로139-33,,,,
28,부산,동래구,동래종합사회복지관,051-525-5314,47757,부산광역시 동래구 시실로107길 151,,,,
29,부산,부산진구,부산진구건강가정지원센터,051-802-1441,47179,부산광역시 부산진구 백양대로 160 부산진구여성가족문화센터 3층,,,,
30,부산,북구,화정종합사회복지관,051-362-0121,46514,부산광역시 북구 효열로 76,,,,
31,부산,사상구,사상구건강가정·다문화가족지원센터,051-314-1279,47022,"부산광역시 사상구 가야대로 196번길 51, 다누림센터 4층",,,,
32,부산,사하구,사하구건강가정지원센터,051-202-2983,49407,"부산광역시 사하구 하신중앙로 324(하단동, 보해이브빌 2층)",,,,
33,부산,수영구,수영구건강가정지원센터,051-758-6187,48257,부산광역시 수영구 장대골로 75-4,,,,
34,부산,연제구,연제구건강가정·다문화가족지원센터,051-851-7006,47590,부산광역시 연제구 월드컵대로 46번길 11 2층,,,,
35,부산,영도구,영도구건강가정지원센터,051-414-9609,49074,부산광역시 영도구 하나길 448,,,,
36,부산,해운대구,해운대구건강가정지원센터,051-782-0099,48095,부산광역시 해운대구 중동1로 37번길 20 중1동주민센터 4층,,,,
37,대구,남구,남구건강가정·다문화가족지원센터,053-475-2326,42444,대구광역시 남구 이천로10(봉덕동) 1층,,,,
38,대구,달서구,달서구건강가정지원센터,053-639-1513,42680,"대구광역시 달서구 성당로 17, 1층",,,,
39,대구,달성군,달성군건강가정·다문화가족지원센터,053-636-5665,42945,"대구광역시 달성군 화원읍 성천로5, 5층 ",,,,
40,대구,동구,동구건강가정·다문화가족지원센터,053-961-2292,41085,대구광역시 동구 안심로 300 5층,,,,
