"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6244786,"2017029","1111013700","11110002","서울특별시 종로구2","서울특별시 종로구 낙원동(하나로빌딩 부근)",7,7,0,4,3,0,126.986978108954,37.5719975023837,"{""type"":""Polygon"",""coordinates"":[[[126.98924289137584,37.572007323152619],[126.98923534571792,37.571850175013893],[126.98921062265795,37.571694149536363],[126.98916890785112,37.571540431882198],[126.98911051953328,37.571390193358788],[126.98903590409225,37.571244576077369],[126.98894562702391,37.571104690210646],[126.98884037643091,37.570971598686221],[126.98872095397375,37.570846315346103],[126.98858826816061,37.570729792300128],[126.98844332756455,37.570622918095559],[126.9882872375121,37.570526505085425],[126.98812118424885,37.570441286657577],[126.98794643271272,37.570367911818394],[126.98776431071936,37.57030693971776],[126.98757620674915,37.57025883242995],[126.98738355068139,37.570223957575308],[126.98718781044973,37.570202581095856],[126.98699047282044,37.570194863567203],[126.98679304222701,37.570200865602033],[126.98659701931491,37.570220539644865],[126.9864038963605,37.570253738064217],[126.98621514372385,37.57030020768525],[126.98603219737176,37.570359593340115],[126.98585644864031,37.570431445033414],[126.98568923632986,37.570515215202505],[126.98553183306959,37.570610265867735],[126.98538543509068,37.570715873994359],[126.9852511587933,37.570831236884224],[126.98513002487513,37.57095547480894],[126.98502295484725,37.571087643612032],[126.98493076422636,37.571226736480227],[126.98485415565217,37.571371696530946],[126.98479370981349,37.571521418574015],[126.98474988986945,37.571674764452624],[126.98472302670659,37.571830565682149],[126.98471332562394,37.571987638801509],[126.98472086179315,37.57214478625415],[126.98474557673947,37.572300813498217],[126.9847872817098,37.572454532626672],[126.98484566212382,37.572604773203302],[126.98492027070752,37.57275039214818],[126.98501054215517,37.572890281914702],[126.98511578855313,37.573023376780135],[126.98523520836234,37.573148663702312],[126.98536789315489,37.573265190462536],[126.98551283438891,37.57337206840073],[126.98566892671833,37.573468485050363],[126.98583498382844,37.573553706913067],[126.98600974179686,37.573627084882929],[126.98619186924974,37.573688059700416],[126.98637998090344,37.573736169223253],[126.98657264551916,37.57377104485699],[126.98676839601748,37.573792423317386],[126.98696574197579,37.573800141277466],[126.98716318319649,37.573794139032337],[126.98735921422224,37.573774463222968],[126.98755234587459,37.573741264225688],[126.98774110641506,37.573694792551464],[126.98792406076305,37.573635404336706],[126.98809981397662,37.573563549640049],[126.98826703048206,37.573479776129901],[126.98842443639032,37.573384721882618],[126.98857083538979,37.573279110041717],[126.98870511104926,37.57316374341827],[126.98882624269042,37.573039501854041],[126.98893330887144,37.572907329616136],[126.98902549419863,37.572768232720819],[126.98910209617476,37.572623270849675],[126.98916253432991,37.572473546571551],[126.98920634686455,37.572320199017483],[126.98923319976075,37.572164395807022],[126.98924289137584,37.572007323152619]]]}"
6244785,"2017029","1111013800","11110001","서울특별시 종로구1","서울특별시 종로구 종로2가(종로3가 부근)",9,12,1,4,7,0,126.991309681897,37.5705165348111,"{""type"":""Polygon"",""coordinates"":[[[126.99357442124121,37.570526272394872],[126.99356686658614,37.570369125329727],[126.99354213380711,37.570213099751747],[126.99350041087101,37.570059383530761],[126.99344201608176,37.569909147061956],[126.99336739248172,37.569763533327567],[126.99327711016805,37.569623649795709],[126.99317185387655,37.56949056205876],[126.99305242644948,37.569365283033342],[126.99291973529435,37.569248765693025],[126.9927747924317,37.569141895859062],[126.99261869979847,37.56904548853376],[126.99245264479224,37.568960277066559],[126.99227789124397,37.568886908610224],[126.99209577037317,37.568825942280732],[126.99190766724482,37.568777842790851],[126.99171501288249,37.568742975009414],[126.99151927407455,37.568721604819693],[126.99132194095262,37.568713894559927],[126.99112451340127,37.568719903866558],[126.99092849542505,37.568739586044799],[126.99073537927508,37.568772791605461],[126.99054663300358,37.568819267309578],[126.99036369251044,37.568878660640159],[126.99018795249411,37.568950518860959],[126.99002074830015,37.569034294344981],[126.98986335361609,37.56912935087275],[126.98971696460789,37.569234965365034],[126.98958269762586,37.569350332377965],[126.98946157327831,37.569474574849032],[126.98935451300979,37.569606747685718],[126.98926233225646,37.56974584494543],[126.98918573360147,37.569890807015014],[126.98912529763966,37.570040531386084],[126.98908148632881,37.570193878977811],[126.98905463273969,37.570349682203663],[126.98904494211691,37.570506754890225],[126.98905248613941,37.570663903067981],[126.98907720967965,37.570819929507117],[126.98911892391909,37.570973646306769],[126.98917731193221,37.571123885735652],[126.98925192753806,37.571269502030503],[126.98934220537741,37.571409387664751],[126.98944745747566,37.571542478742955],[126.98956688225036,37.571667762251785],[126.98969957125425,37.571784283301405],[126.98984451589489,37.571891155972253],[126.9900006108065,37.571987566936649],[126.9901666696547,37.572072782739426],[126.99034142737143,37.572146154315952],[126.99052355596714,37.572207123371307],[126.99071166677945,37.572255225095347],[126.99090432855122,37.57229009455137],[126.99110007649941,37.572311465814849],[126.99129742022072,37.572319175613586],[126.99149485612763,37.572313166987243],[126.99169088334266,37.572293483947831],[126.99188400932779,37.572260276912054],[126.99207276350165,37.572213799154071],[126.99225570972426,37.572154403253258],[126.99243145648576,37.572082542038515],[126.99259866487905,37.571998762311921],[126.99275606220938,37.571903702202022],[126.99290245109796,37.571798084892038],[126.99303671857291,37.571682714150626],[126.99315784064817,37.571558467139184],[126.99326489706864,37.571426290868224],[126.99335707138259,37.571287191379874],[126.99343366457741,37.571142226594198],[126.99349409172905,37.57099249908277],[126.99353789449192,37.570839150712906],[126.99356473894085,37.570683346413297],[126.99357442124121,37.570526272394872]]]}"
6244794,"2017029","1114016600","11140003","서울특별시 중구3","서울특별시 중구 서소문동(제일화재해상보험(주)_서소문로_ 부근)",2,2,2,0,0,0,126.975258576623,37.5636211125252,"{""type"":""Polygon"",""coordinates"":[[[126.97752310109863,37.563631156443179],[126.97751558070958,37.563474007523148],[126.97749088468748,37.563317979573654],[126.97744919848229,37.563164257775497],[126.97739084011189,37.563014013467708],[126.97731625573617,37.56286838880574],[126.97722601061454,37.56272849401828],[126.97712079260674,37.562595392100945],[126.97700140312496,37.562470096974906],[126.97686875042679,37.562353560839682],[126.97672384283315,37.562246672342049],[126.97656778541938,37.562150243944053],[126.97640176418298,37.56206500915048],[126.9762270438179,37.561991617092417],[126.97604495190279,37.561930627050529],[126.97585687668925,37.561882501235928],[126.97566424783767,37.561847607409746],[126.97546853307433,37.561826211658548],[126.97527121897245,37.561818474704339],[126.97507380978588,37.561824457307829],[126.97487780599768,37.561844112061273],[126.97468469973833,37.561877291479981],[126.9744959612409,37.561923742533729],[126.97431302636484,37.56198311019596],[126.97413728635868,37.562054944608029],[126.97397007995642,37.562138698338977],[126.9738126797422,37.562233733534192],[126.97366628305645,37.562339327281549],[126.97353200290085,37.56245467697741],[126.973410863391,37.562578903008806],[126.97330378494802,37.562711061304647],[126.97321158428495,37.562850145136764],[126.97313496072935,37.562995097676335],[126.97307449847273,37.563144813805216],[126.97303065966626,37.563298155406869],[126.97300377534054,37.563453954029008],[126.97299405095512,37.56361102623044],[126.97300156185923,37.563768174461792],[126.97302624977017,37.563924204175201],[126.97306792614081,37.564077927444742],[126.97312627660817,37.564228173803023],[126.97320085525875,37.564373800130888],[126.97329109362605,37.564513698810671],[126.97339630743662,37.564646804066918],[126.97351569426728,37.56477210277324],[126.97364834707955,37.564888641725027],[126.97379325416782,37.564995534851619],[126.97394931385335,37.56509196688863],[126.97411533893106,37.565177205117031],[126.97429006572243,37.56525060030642],[126.97447216309128,37.565311593065957],[126.97466024598256,37.565359721116991],[126.97485288337681,37.565394615724053],[126.97504860840154,37.565416013458439],[126.97524593082819,37.565423750846392],[126.97544335063827,37.565417768035296],[126.97563936253763,37.565398111517965],[126.97583247749296,37.56536493152413],[126.97602122389345,37.565318478419911],[126.97620416676548,37.565259108200543],[126.97637991125512,37.565187270787362],[126.97654712185464,37.565103513717538],[126.97670452471996,37.565008474942047],[126.97685092356883,37.564902876585528],[126.97698520195256,37.564787524053301],[126.97710633919066,37.564663294382875],[126.97721341379237,37.564531132652185],[126.97730561029994,37.564392044797529],[126.97738222613097,37.564247090431543],[126.97744268070984,37.564097372066215],[126.97748651211225,37.563944028787411],[126.97751338617657,37.563788228182084],[126.97752310109863,37.563631156443179]]]}"
6244796,"2017029","1117011900","11170001","서울특별시 용산구1","서울특별시 용산구 효창동(효창공원앞역 부근)",4,4,1,2,1,0,126.96172082106,37.5400422995134,"{""type"":""Polygon"",""coordinates"":[[[126.96398462809471,37.540052597658004],[126.96397713904518,37.539895447490565],[126.96395247734054,37.539739415457106],[126.9639108315385,37.539585689481683],[126.96385251824275,37.539435437331711],[126.96377798324389,37.539289804821003],[126.96368779144527,37.539149899540639],[126.96358263029427,37.539016785467574],[126.9634633007765,37.538891475714294],[126.96333071067423,37.538774925288756],[126.96318586785145,37.538668020249268],[126.96302987688361,37.538571574085381],[126.96286392326316,37.538486320436938],[126.96268927116914,37.53841290857865],[126.96250724766774,37.538351897040393],[126.96231924047014,37.538303750894194],[126.9621266787389,37.538268835358657],[126.9619310296889,37.538247416685778],[126.96173377937528,37.53823965846874],[126.96153643159126,37.538245618031951],[126.9613404863277,37.538265251741173],[126.96114743528869,37.538298409574814],[126.96095874828697,37.538344838666951],[126.96077586077119,37.538404186855146],[126.96060016364885,37.538476001731766],[126.96043299532079,37.538559736915886],[126.96027562808149,37.538654754694043],[126.96012925902049,37.538760332286543],[126.95999500093595,37.538875666311228],[126.95987387775548,37.538999879971691],[126.95976680979561,37.539132026593698],[126.95967461368265,37.539271100439407],[126.95959798871637,37.539416043854388],[126.95953751907939,37.539565754487171],[126.95949366700417,37.53971909066486],[126.95946676359723,37.539874887574527],[126.95945701448207,37.540031959091081],[126.95946449518939,37.540189108571802],[126.95948914766645,37.540345141459198],[126.95953078363587,37.540498869803216],[126.95958908904137,37.540649123098127],[126.95966361831289,37.540794758171863],[126.95975380335977,37.540934667340132],[126.95985896031385,37.541067784747923],[126.95997828718511,37.541193097176276],[126.96011087739092,37.541309651316382],[126.96025571970272,37.541416560981716],[126.96041171293473,37.541513010782246],[126.96057767039382,37.541598266962517],[126.96075232890335,37.541671681951222],[126.96093435784751,37.541732696206807],[126.96112237271093,37.541780844589951],[126.96131494296634,37.541815761808927],[126.96151060227162,37.541837181565768],[126.96170786089236,37.541844941120338],[126.96190521929535,37.541838980451502],[126.96210117265456,37.541819345883198],[126.96229423238782,37.541786186577099],[126.96248292728625,37.541739755438726],[126.96266582279318,37.541680404697821],[126.96284152439698,37.54160858682431],[126.96300869691551,37.541524849206752],[126.96316606680774,37.541429827852212],[126.96331243803552,37.541324245654138],[126.96344669436078,37.5412089078946],[126.96356781527059,37.54108469149881],[126.96367487939833,37.540952541443687],[126.96376707136599,37.540813463576548],[126.96384368862579,37.540668517433929],[126.96390415059044,37.540518805465496],[126.96394799527991,37.540365466708231],[126.96397488956342,37.540209668719754],[126.96398462809471,37.540052597658004]]]}"
6245106,"2017029","1120011100","11200008","서울특별시 성동구8","서울특별시 성동구 금호동3가(왕십리역_왕십리역길_진출_1 부근)",3,3,0,2,0,1,127.036274356977,37.5610823560668,"{""type"":""Polygon"",""coordinates"":[[[127.03853882530278,37.561091228144669],[127.03853117802974,37.560934083077711],[127.03850635427355,37.560778066057175],[127.03846454382591,37.560624364892234],[127.03840606452459,37.560474149858685],[127.03833136344304,37.560328563789355],[127.03824100674697,37.560188713923296],[127.03813568312708,37.560055665610776],[127.03801619480539,37.559930431463279],[127.03788345078486,37.559813964117744],[127.03773846009932,37.559707149000943],[127.03758232843865,37.559610800712463],[127.03741624236496,37.559525652148217],[127.0372414670769,37.559452349986735],[127.03705933057159,37.559391452825714],[127.03687122142149,37.559343424865254],[127.03667856956305,37.55930863042564],[127.036482842898,37.559287334836249],[127.03628552807729,37.559279699854173],[127.03608812936727,37.559285784561524],[127.03589214716425,37.559305541675869],[127.03569907344733,37.559338821137572],[127.03551037820155,37.559385369154832],[127.03532749693942,37.559444832660581],[127.03515182051996,37.559516758370258],[127.03498468719276,37.559600598157445],[127.03482736897456,37.559695715308386],[127.03468106258227,37.559801386287582],[127.03454688034822,37.559916805207088],[127.03442584562478,37.560041094623074],[127.03431887804254,37.560173309081485],[127.03422679346461,37.56031244232711],[127.03415029035348,37.56045743445911],[127.03408995196577,37.560607182754495],[127.03404623951666,37.560760547949556],[127.03401948306849,37.560916362314948],[127.0340098871263,37.561073439592072],[127.03401752603753,37.561230585790561],[127.03404234056333,37.561386603681363],[127.03408414119248,37.561540305428871],[127.03414261259896,37.561690523424964],[127.03421730796583,37.561836112070125],[127.03430765793864,37.561975964033891],[127.03441297738239,37.562109015690751],[127.03453246306965,37.562234254323116],[127.03466520722075,37.562350725386949],[127.0348101974356,37.562457543329323],[127.03496633138988,37.562553895253259],[127.03513242131963,37.562639048147936],[127.03530720305218,37.562712353432431],[127.03548934502679,37.562773253302268],[127.0356774618671,37.56282128348824],[127.03587012227074,37.562856079598028],[127.03606585920858,37.562877376255898],[127.03626318236084,37.56288501075781],[127.03646059168592,37.56287892673047],[127.03665658198707,37.562859168741426],[127.03684966439586,37.562825887791377],[127.03703836753091,37.562779337712932],[127.0372212567722,37.562719871640233],[127.03739693765598,37.562647942922609],[127.03756407516495,37.562564098889766],[127.03772139601196,37.562468978155302],[127.0378677045326,37.562363304368013],[127.03800188497847,37.562247881712722],[127.03812291741386,37.562123587759949],[127.03822988113448,37.561991369872416],[127.03832196152678,37.561852234414019],[127.03839845690415,37.561707239564328],[127.03845878760727,37.561557488142057],[127.0385024926378,37.56140412218263],[127.03852923994539,37.561248306753171],[127.03853882530278,37.561091228144669]]]}"
6245109,"2017029","1120011400","11200005","서울특별시 성동구5","서울특별시 성동구 성수동1가(뚝섬역 부근)",3,3,0,3,0,0,127.044532124459,37.5470082673186,"{""type"":""Polygon"",""coordinates"":[[[127.04679617019626,37.5470169793062],[127.04678850557943,37.546859834291325],[127.04676366895579,37.546703818553105],[127.04672184908286,37.546550119886568],[127.04666336500217,37.546399908552843],[127.04658866043565,37.546254327343476],[127.04649830609529,37.546114483478036],[127.04639298726076,37.545981443149365],[127.04627350726594,37.545856216215405],[127.046140773902,37.54573975795104],[127.04599579950911,37.545632953726987],[127.04583968628194,37.54553661534969],[127.04567362175816,37.545451478341256],[127.04549886984555,37.545378188386508],[127.04531676175112,37.545317304003476],[127.04512868244343,37.545269289281833],[127.04493606276404,37.545234508445581],[127.04474036923749,37.545213226716115],[127.0445430916505,37.545205605758341],[127.04434572946637,37.545211704530033],[127.04414978619106,37.545231475654916],[127.04395675350747,37.545264768966739],[127.04376809770086,37.545311330555144],[127.04358525737126,37.54537080726292],[127.04340962306634,37.54544274570511],[127.04324253045951,37.545526597649548],[127.04308525238429,37.545621727195638],[127.04293898413677,37.545727408012091],[127.04280484112995,37.545842836846354],[127.04268384302999,37.545967136165892],[127.04257691033756,37.546099357748609],[127.04248485750149,37.546238497977647],[127.04240838613586,37.546383496010968],[127.04234807586819,37.546533249067451],[127.0423043876993,37.546686617846959],[127.04227765376254,37.546842434601828],[127.04226807839133,37.546999513055148],[127.04227573238904,37.547156659194364],[127.04230055978942,37.547312675804108],[127.04234237097779,37.547466375959836],[127.04240084830847,37.5476165893595],[127.04247554490293,37.547762173135837],[127.04256589479061,37.547902019107319],[127.04267120944918,37.548035063680693],[127.0427906868199,37.548160294196833],[127.04292341805393,37.548276756168995],[127.04306839423737,37.548383564126709],[127.04322450975953,37.548479906137196],[127.04339057814502,37.548565046572264],[127.04356533423677,37.548638339638615],[127.04374744893028,37.54869922673231],[127.04393553705668,37.548747243681298],[127.04412816414464,37.548782026180902],[127.04432386680621,37.548803308972175],[127.04452115498263,37.54881092945665],[127.04471852551087,37.548804831354524],[127.04491447800937,37.548785059358117],[127.04510752050956,37.548751764561487],[127.04529618306623,37.548705200907122],[127.04547903023585,37.548645721627985],[127.04565467126299,37.548573780187198],[127.04582176804034,37.548489924899386],[127.04597904873957,37.548394791771095],[127.04612531685305,37.548289107238148],[127.04625946033333,37.548173674678914],[127.04638045613828,37.548049371726208],[127.04648738497448,37.547917145815525],[127.04657943136191,37.547778003367455],[127.04665589726042,37.547633002627869],[127.04671619870946,37.547483247344061],[127.04675987833775,37.547329876896811],[127.04678660313945,37.547174059080113],[127.04679617019626,37.5470169793062]]]}"
6245108,"2017029","1120011400","11200006","서울특별시 성동구6","서울특별시 성동구 성수동1가(응봉교_광나룻길_진출_1 부근)",3,3,0,3,0,0,127.036104503821,37.5465107938389,"{""type"":""Polygon"",""coordinates"":[[[127.03836853218969,37.546519666293413],[127.03836088531064,37.546362520835714],[127.03833606642448,37.54620650342909],[127.03829426415365,37.546052801881203],[127.0382357974057,37.545902586475201],[127.0381611097707,37.545757000033539],[127.03807077069989,37.545617149811314],[127.03796546874952,37.54548410116157],[127.03784600258922,37.54535886668512],[127.0377132844407,37.545242399034684],[127.03756832314109,37.545135583639372],[127.0374122207689,37.545039235087607],[127.03724616818302,37.5449540862951],[127.03707142580762,37.544880783924405],[127.0368893259092,37.544819886592514],[127.03670125339379,37.544771858487628],[127.03650863905145,37.544737063935479],[127.03631294936604,37.544715768261973],[127.03611567409513,37.544708133238103],[127.03591831268425,37.544714217928544],[127.0357223686336,37.544733975064275],[127.03552933249996,37.544767254581132],[127.03534067398225,37.544813802686768],[127.03515782831359,37.544873266313516],[127.03498218721434,37.544945192180286],[127.03481508640974,37.545029032150609],[127.03465779766903,37.545124149509292],[127.03451151974018,37.545229820728089],[127.03437736473929,37.545345239917246],[127.0342563524235,37.545469529617492],[127.03414940677264,37.545601744390432],[127.03405733896314,37.54574087796059],[127.03398085071764,37.545885870437999],[127.03392052517938,37.54603561909704],[127.03387682007801,37.546188984657825],[127.03385006880774,37.546344799401624],[127.03384047583394,37.546501877066945],[127.03384811209378,37.546659023647095],[127.03387292175617,37.54681504192348],[127.03391471534697,37.54696874405753],[127.0339731742057,37.547118962424889],[127.03404785499863,37.547264551436562],[127.0341381884824,37.547404403759316],[127.03424348625953,37.547537455751574],[127.03436294978722,37.547662694711008],[127.0344956669347,37.547779166073326],[127.03464062889526,37.547885984296684],[127.03479673355936,37.547982336482022],[127.03496279113045,37.548067489607604],[127.0351375376822,37.548140795090823],[127.03531964417731,37.548201695134573],[127.03550772437731,37.548249725463883],[127.0357003472587,37.548284521685346],[127.03589604607804,37.548305818422406],[127.03609333193793,37.548313452974874],[127.03629070169282,37.548307368955733],[127.03648665496723,37.548287610950254],[127.03667969978655,37.548254329945934],[127.03686836618789,37.548207779780235],[127.03705121869861,37.548148313583511],[127.03722686652243,37.548076384719302],[127.03739397037383,37.547992540500708],[127.03755126174165,37.547897419560378],[127.03769754066592,37.547791745531029],[127.03783169501146,37.547676322612496],[127.03795270504094,37.547552028377332],[127.03805964683302,37.54741981017709],[127.03815170932856,37.547280674391303],[127.03822819097735,37.547135679202015],[127.03828850883654,37.546985927417253],[127.03833220539336,37.546832561088451],[127.03835894752969,37.546676745281076],[127.03836853218969,37.546519666293413]]]}"
6244798,"2017029","1120011500","11200001","서울특별시 성동구1","서울특별시 성동구 성수동2가(성수쇼핑센타 부근)",4,4,0,3,1,0,127.054939885868,37.5471305805128,"{""type"":""Polygon"",""coordinates"":[[[127.05720393853015,37.547139092209754],[127.05719625205276,37.546981946832368],[127.05717139367715,37.546825933147367],[127.05712955233165,37.546672238032812],[127.0570710472213,37.546522031722745],[127.05699632222804,37.54637645697057],[127.05690594708182,37.54623662184359],[127.05680061062426,37.546103589783954],[127.05668111291961,37.545978373270877],[127.05654836303138,37.54586192660301],[127.05640337342545,37.545755135062613],[127.05624724641196,37.545658810359704],[127.05608116963383,37.545573687912395],[127.05590640709174,37.545500413294654],[127.05572429007374,37.54543954490773],[127.05553620361628,37.545391546719593],[127.05534357861518,37.545356782828534],[127.05514788163556,37.54533551832693],[127.05495060248501,37.545327915649871],[127.05475324065486,37.545334030919065],[127.05455729963226,37.545353819329698],[127.0543642710883,37.545387129682624],[127.05417562127673,37.545433707938045],[127.05399278875211,37.545493200811649],[127.05381716400267,37.545565154795575],[127.05365008262899,37.545649021539454],[127.0534928162475,37.54574416502571],[127.05334656345232,37.545849858829889],[127.05321243615174,37.545965299587607],[127.05309145502444,37.546089609679981],[127.0529845404364,37.546221841704259],[127.05289250671503,37.546360989266958],[127.0528160541807,37.546505994162928],[127.05275576571046,37.54665575267056],[127.05271209875197,37.546809125435196],[127.05268538640907,37.546964944683126],[127.05267583284542,37.547122025019718],[127.05268350871475,37.547279169721136],[127.05270835786806,37.547435184279841],[127.05275019053053,37.547588880885648],[127.05280868776094,37.547739089259132],[127.05288340591687,37.547884666584316],[127.05297377547069,37.548024505616944],[127.0530791088986,37.548157540123889],[127.05319860398289,37.548282760219756],[127.05333135174503,37.548399210595761],[127.05347634201343,37.548506005865278],[127.05363247245771,37.548602334205114],[127.05379855310117,37.548687460078156],[127.05397331982559,37.548760737806333],[127.05415544344554,37.548821608902387],[127.05434353872401,37.548869609315929],[127.0545361711354,37.548904374868435],[127.05473187725117,37.548925640429701],[127.05492916698078,37.548933244433755],[127.05512653716563,37.548927128029341],[127.05532248741058,37.548907338744989],[127.05551552576956,37.548874026905089],[127.05570418232905,37.548827446581946],[127.05588702169101,37.548767951135346],[127.05606265315953,37.548695994151402],[127.05622973870025,37.548612124063148],[127.05638700657003,37.548516976989788],[127.05653326035926,37.548411279473264],[127.05666738812948,37.548295834990626],[127.05678836695796,37.548171521265644],[127.05689527654333,37.548039286712701],[127.05698730495568,37.547900135133943],[127.05706375088808,37.547755127528838],[127.05712403166933,37.547605366800099],[127.05716769008549,37.547451992369744],[127.05719439329221,37.547296172062154],[127.05720393853015,37.547139092209754]]]}"
6245105,"2017029","1120012200","11200002","서울특별시 성동구2","서울특별시 성동구 용답동(답십리역 부근)",4,4,0,3,0,1,127.053400848172,37.5641906288953,"{""type"":""Polygon"",""coordinates"":[[[127.05566541706541,37.56419917394765],[127.05565773242844,37.564042028933393],[127.05563287195443,37.563886015359344],[127.05559102458763,37.563732320102702],[127.05553250957927,37.563582113398567],[127.05545777088621,37.56343653800333],[127.05536737834305,37.563296701989174],[127.05526202092409,37.563163668805011],[127.05514249772045,37.563038450934314],[127.05500972137791,37.562922002698784],[127.05486470117589,37.56281520937987],[127.05470853965723,37.56271888270102],[127.05454242811544,37.562633758108184],[127.0543676274276,37.56256048117887],[127.05418547030459,37.562499610336104],[127.0539973420878,37.562451609566608],[127.05380467399073,37.562416842988227],[127.05360893290651,37.562395575713829],[127.05341160897842,37.562387970199573],[127.05321420203815,37.562394082588732],[127.05301821591631,37.562413868098439],[127.05282514149513,37.562447175547348],[127.05263644876487,37.562493750930564],[127.0524535732192,37.562553240972882],[127.05227790680571,37.562625192192186],[127.05211078544185,37.562709056259266],[127.05195348104833,37.562804197176881],[127.05180719250893,37.562909888540176],[127.05167303200372,37.563025327003373],[127.05155201933175,37.563149634960745],[127.05144507848718,37.563281865038725],[127.05135302060935,37.563421010845786],[127.0512765473346,37.563566014194457],[127.0512162416982,37.563715771374923],[127.05117256127812,37.563869143042631],[127.05114583928093,37.564024961432267],[127.051136279944,37.564182041155753],[127.05114395396463,37.564339185493886],[127.05116880520843,37.564495199941916],[127.05121064388463,37.564648896690457],[127.05126915100617,37.564799105459073],[127.0513438828557,37.564944683428671],[127.05143426980126,37.565084523350144],[127.05153962305459,37.565217558979278],[127.05165914363512,37.565342780434939],[127.05179191898223,37.56545923238513],[127.05193693984671,37.565566029435523],[127.05209310366557,37.565662359749332],[127.05225922020773,37.565747487774395],[127.05243402508164,37.565820767816255],[127.0526161888118,37.565881641369977],[127.0528043247237,37.565929644362235],[127.05299700137012,37.56596441260762],[127.05319275159803,37.565985680942624],[127.05339008611332,37.565993287784465],[127.05358750141612,37.565987174260194],[127.05378349676818,37.565967387876519],[127.05397657987996,37.565934078935719],[127.05416528049707,37.565887501488014],[127.05434816288626,37.565828008871371],[127.05452383602423,37.565756054650329],[127.05469096042681,37.565672187232693],[127.05484826744345,37.565577042730112],[127.05499455697826,37.565471347652178],[127.05512871682106,37.565355905457487],[127.05524972719282,37.565231593865136],[127.05535666416392,37.565099361260529],[127.05544871672876,37.564960211435334],[127.05552518339636,37.564815205375687],[127.05558548133764,37.564665445972466],[127.05562915320841,37.56451207263774],[127.05565586606187,37.564356253187484],[127.05566541706541,37.56419917394765]]]}"
6245110,"2017029","1121510100","11215001","서울특별시 광진구1","서울특별시 광진구 중곡동(용마사거리 부근)",3,3,1,1,1,0,127.082950471588,37.5618674129516,"{""type"":""Polygon"",""coordinates"":[[[127.08521497844677,37.561875390452244],[127.08520723304129,37.56171824783069],[127.08518231161158,37.561562240049348],[127.08514040469299,37.561408554846672],[127.08508183085772,37.561258362377053],[127.08500703789841,37.561112805300745],[127.08491659267935,37.560972990636998],[127.08481118456041,37.560839984369096],[127.08469161642165,37.560714796091084],[127.08455879785798,37.560598380788079],[127.08441373846979,37.560491623491274],[127.08425754448569,37.560395335662129],[127.08409140292672,37.560310252434348],[127.0839165794178,37.560237019087396],[127.08373440232336,37.560176193696101],[127.08354626052507,37.560128239913503],[127.0833535853393,37.560093521500043],[127.08315784145745,37.560072303193955],[127.08296051904928,37.560064746177339],[127.08276312130731,37.560070908933959],[127.08256714861984,37.560090743588248],[127.08237409289383,37.560124099490366],[127.08218542397709,37.560170722266541],[127.08200257718262,37.560230258281074],[127.08182694310675,37.560302253697962],[127.08165985967653,37.560386159859867],[127.08150259852489,37.560481340449229],[127.08135635594989,37.560587068750813],[127.08122224378229,37.560702541138063],[127.08110128484189,37.560826879759333],[127.08099439819811,37.560959136089558],[127.08090239908319,37.561098306251282],[127.08082598531364,37.561243329162231],[127.08076574059901,37.561393101868752],[127.08072212205387,37.561546484908462],[127.08069546241373,37.561702310429233],[127.08068596431436,37.5618593920831],[127.08069370135956,37.562016535845835],[127.08071861356281,37.562172544507256],[127.08076051179634,37.562326231207528],[127.08081907661963,37.562476425742744],[127.08089386387621,37.562621985401748],[127.08098430238542,37.562761802169604],[127.08108970633874,37.562894812687667],[127.08120927186535,37.563020004552051],[127.08134209057695,37.563136423574008],[127.08148714950633,37.563243184597539],[127.08164334580101,37.563339476059717],[127.08180949123772,37.563424562712548],[127.08198432120581,37.563497799176496],[127.08216650378233,37.563558627270055],[127.0823546532813,37.563606583270037],[127.08254733815245,37.563641303348597],[127.08274309117998,37.563662522709045],[127.08294042192125,37.563670079235919],[127.08313783027795,37.563663917148787],[127.08333381219184,37.563644081614413],[127.08352687547065,37.563610724210712],[127.08371555226712,37.563564099364953],[127.0838984070289,37.563504560775726],[127.0840740455551,37.563432562345341],[127.08424113314594,37.563348652834641],[127.08439839690966,37.563253468658928],[127.08454464160124,37.563147736646357],[127.08467875196325,37.56303226052443],[127.08479970859295,37.562907918270078],[127.08490659136409,37.56277565761345],[127.0849985862793,37.562636485244127],[127.0850749923023,37.562491459622905],[127.0851352304485,37.562341684702993],[127.08517884044048,37.562188300002163],[127.08520549093495,37.562032473427017],[127.08521497844677,37.561875390452244]]]}"
