"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6230704,"2017026","1162010200","11620001","서울특별시 관악구1","서울특별시 관악구 신림동(애동유치원 부근)",1,1,1,0,0,0,126.920469658949,37.4739485403937,"{""type"":""Polygon"",""coordinates"":[[[126.92387913105134,37.473965213870635],[126.92386797534566,37.473728318459607],[126.92383095594609,37.473493098739048],[126.92376835564389,37.473261346163369],[126.92368065195605,37.473034823376011],[126.92356851040061,37.472815255164477],[126.92343278574444,37.472604312244144],[126.9232745107775,37.472403599488203],[126.92309489186708,37.47221464509272],[126.92289529323205,37.472038886081393],[126.92267723587176,37.471877660191673],[126.92244237954731,37.471732195875383],[126.92219251045344,37.471603597820433],[126.92192953105,37.471492846003372],[126.92165544206199,37.47140078388702],[126.9213723289767,37.47132811024521],[126.92108234734918,37.471275379093619],[126.92078770251669,37.471242991480295],[126.92049063830531,37.471231194530631],[126.92019341445668,37.471240076831037],[126.91989829190813,37.471269571962452],[126.91960751812871,37.471319454822826],[126.91932330447636,37.47138934602193],[126.9190478148908,37.471478712725641],[126.91878314548296,37.471586876665903],[126.91853130984082,37.471713014065934],[126.91829422427067,37.471856163676925],[126.91807369414026,37.472015238425271],[126.91787139804229,37.472189026232428],[126.91768887411331,37.472376204365609],[126.91752751317081,37.472575349315363],[126.91738854168536,37.472784944820283],[126.91727301827198,37.473003396268098],[126.91718182229256,37.473229041452704],[126.91711564810383,37.473460162260935],[126.91707500040053,37.4736950008718],[126.91706018622074,37.473931768728967],[126.91707132157531,37.474168665501082],[126.91710831894282,37.474403886230483],[126.9171708995391,37.474635642125186],[126.91725858645283,37.474862169539541],[126.91737071244825,37.475081743534567],[126.91750642435521,37.475292694126026],[126.9176646886539,37.475493414426822],[126.9178443026526,37.475682376929448],[126.91804389779244,37.475858144341835],[126.91826195654555,37.47601937778645],[126.91849681908789,37.476164851258481],[126.9187466968359,37.476293456202995],[126.91900968817697,37.47640421511624],[126.91928379202353,37.476496284319794],[126.91956692245049,37.47656896304921],[126.91985692336883,37.476621698035537],[126.92015158886225,37.476654087212921],[126.92044867445607,37.476665886085001],[126.92074591978665,37.476657002429043],[126.92104106323643,37.476627506283236],[126.92133185672174,37.476577620103861],[126.92161608827909,37.476507724283273],[126.92189159343165,37.476418350894747],[126.9221562755817,37.476310180184697],[126.92240812075421,37.476184036135592],[126.92264521124308,37.476040877516134],[126.92286574373082,37.475881795262488],[126.92306803957382,37.475707999004676],[126.92325055727804,37.47552081261707],[126.92341191070425,37.475321659881978],[126.92355087025895,37.475112056379544],[126.92366637880681,37.474893598745865],[126.92375755631369,37.474667948468124],[126.92382371121158,37.47443682382513],[126.92386433938491,37.474201983655774],[126.92387913105134,37.473965213870635]]]}"
6230070,"2017026","1174010500","11740001","서울특별시 강동구1","서울특별시 강동구 길동(길동초교 부근)",2,2,0,1,1,0,127.144505952189,37.5385382904107,"{""type"":""Polygon"",""coordinates"":[[[127.14790167861644,37.538548464581382],[127.14788986493357,37.538312754412281],[127.14785229776939,37.538078760235784],[127.14778926440718,37.537848264866582],[127.14770124242187,37.537623020123775],[127.14758890308862,37.537404742335845],[127.1474531024173,37.537195091584813],[127.14729487326095,37.536995663572796],[127.14711541971874,37.536807975186825],[127.14691610811504,37.536633456362772],[127.14669845575453,37.536473433830913],[127.14646411736409,37.536329125670889],[127.14621487835332,37.536201630478843],[127.14595263448557,37.536091918296634],[127.14567938172881,37.536000823373762],[127.14539719817226,37.535929039609492],[127.1451082338757,37.535877114215545],[127.14481468487828,37.535845440429249],[127.14451878753454,37.535834260202229],[127.14422279251602,37.535843658715102],[127.14392895236989,37.535873564340363],[127.14363950228648,37.535923748584267],[127.14335664649997,37.535993831453013],[127.14308253567248,37.536083278678959],[127.14281925781231,37.536191408902113],[127.14256881561316,37.536317399908526],[127.14233311398746,37.536460293096461],[127.14211394871711,37.536619000649665],[127.14191298603944,37.536792314485602],[127.14173175580494,37.53697891704735],[127.14157163786834,37.537177386666976],[127.14143385068988,37.537386213751645],[127.14131944223753,37.537603808865221],[127.14122928538529,37.537828517132638],[127.14116406428512,37.538058626308384],[127.14112427652394,37.538292387512044],[127.14111022517041,37.538528019709283],[127.14112201753487,37.538763730438298],[127.14115956398049,37.538997725720883],[127.1412225789728,37.539228225388726],[127.14131058215064,37.539453473904054],[127.14142290615466,37.539671758411849],[127.14155869432159,37.539881415945864],[127.141716914174,37.54008085149917],[127.14189636189542,37.540268547955698],[127.1420956713384,37.540443075134306],[127.14231332526381,37.540603106050824],[127.14254766889734,37.540747422370956],[127.14279691666995,37.540874925250492],[127.14305917255219,37.54098464441411],[127.14333244134288,37.541075745403539],[127.14361464110863,37.541147533223672],[127.14390362577755,37.541199463229795],[127.14419719421109,37.541231139354245],[127.14449311282111,37.541242320485843],[127.14478912915806,37.541232921413027],[127.1450829911589,37.541203013783758],[127.14537245961223,37.541152825241205],[127.14565533420623,37.541082738599961],[127.14592945922674,37.540993285552069],[127.14619274959134,37.540885148545946],[127.14644320109437,37.54075914999823],[127.14667890854092,37.540616248739724],[127.14689807597195,37.540457532832001],[127.14709903708474,37.540284210611375],[127.14728026207617,37.540097599889535],[127.14744037125087,37.539899122582426],[127.14757814641487,37.53969028851634],[127.14769253996947,37.53947268643828],[127.14778268061254,37.539247974114978],[127.14784788134031,37.539017860327064],[127.14788764852919,37.538784097683163],[127.14790167861644,37.538548464581382]]]}"
6230398,"2017026","2818510100","28185001","인천광역시 연수구1","인천광역시 연수구 옥련동(인천송도초교 부근)",1,1,1,0,0,0,126.657160880271,37.426747367398,"{""type"":""Polygon"",""coordinates"":[[[126.66055645269351,37.426771530147022],[126.66054616731715,37.426535421765301],[126.66051011787442,37.426300925894893],[126.66044857850659,37.426069829138484],[126.66036201920213,37.425843887926796],[126.6602510967975,37.4256248239492],[126.66011665860148,37.425414302549129],[126.65995972549717,37.425213927198264],[126.65978149212751,37.425025222375211],[126.65958331683137,37.424849623582247],[126.65936670591978,37.424688468223593],[126.65913330931585,37.424542981156343],[126.65888490251399,37.424414270960384],[126.65862337542225,37.424303317243655],[126.6583507200256,37.424210962445635],[126.65806900891933,37.424137911687417],[126.65778038868616,37.424084719207087],[126.65748705275138,37.424051790872554],[126.65719123582129,37.424039376932768],[126.6568951867802,37.424047570924337],[126.65660115963874,37.424076311409991],[126.65631139322173,37.424125380030993],[126.65602808969561,37.424194402254379],[126.65575340771537,37.424282854533431],[126.65548943534077,37.424390061408388],[126.65523818311065,37.424515208974611],[126.65500156257696,37.424657344726555],[126.65478137378673,37.424815385577119],[126.65457929384216,37.424988130391348],[126.65439685877968,37.425174263458672],[126.65423545888693,37.425372368877511],[126.654096322778,37.425580939451208],[126.65398050710741,37.425798386526154],[126.65388889637234,37.426023057112843],[126.65382218589392,37.426253239169675],[126.65378088495692,37.426487183255617],[126.65376530770959,37.426723106970272],[126.65377557178157,37.426959216575256],[126.65381160045358,37.42719371422028],[126.6538731202055,37.427424814149958],[126.65395966164468,37.427650759837135],[126.65407056847768,37.427869829456526],[126.65420499386862,37.428080357493151],[126.65436191732373,37.428280740273777],[126.65454014449313,37.428469453094053],[126.6547383172263,37.428645060208645],[126.65495492929023,37.428806223960528],[126.65518833072659,37.428951719237588],[126.65543674589428,37.429080437210459],[126.65569828463111,37.429191398034909],[126.6559709545981,37.429283759055515],[126.65625268275745,37.429356814962127],[126.65654132200808,37.429410011360176],[126.65683467834708,37.429442942262753],[126.65713051757817,37.429455357350918],[126.65742658678339,37.429447163029266],[126.65772063469559,37.429418420768997],[126.65801042072849,37.429369348974724],[126.65829374211989,37.429300322275822],[126.65856843967178,37.429211864355018],[126.65883242485144,37.429104650843492],[126.65908368673078,37.4289794958475],[126.65932031346472,37.428837352098348],[126.65954050481791,37.428679302926142],[126.65974258361017,37.428506549718705],[126.65992501384021,37.428320408441543],[126.66008640536711,37.428122295245799],[126.66022552983092,37.427913717564394],[126.6603413309312,37.427696264266821],[126.66043292461322,37.427471588531787],[126.66049961607415,37.427241402557222],[126.66054089660695,37.427007455903237],[126.66055645269351,37.426771530147022]]]}"
6230386,"2017026","2826011200","28260001","인천광역시 서구1","인천광역시 서구 가좌동(동진유치원 부근)",2,2,0,0,2,0,126.679269937559,37.493257755442,"{""type"":""Polygon"",""coordinates"":[[[126.6826633295903,37.493281283043849],[126.68265298475472,37.493045539831087],[126.68261689299835,37.492811411235913],[126.68255532923197,37.492580681095127],[126.68246876323852,37.492355103932489],[126.68235785184471,37.492136395892764],[126.68222344130356,37.491926223042611],[126.68206655390068,37.491726184154842],[126.68188838353252,37.491537800766011],[126.68169028675156,37.491362508104146],[126.68147377162951,37.491201638790983],[126.68124048424194,37.491056417343863],[126.68099220200024,37.490927949317005],[126.6807308133922,37.490817212151292],[126.68045830675349,37.490725047888958],[126.68017675787004,37.490652159485258],[126.67988830748048,37.49059909983901],[126.67959515221527,37.490566273534547],[126.67929952205203,37.49055393037743],[126.67900366676101,37.490562164400053],[126.67870983669575,37.490590912827336],[126.67842027035027,37.490639956891357],[126.67813716834334,37.490708922551043],[126.6778626877022,37.490797286760383],[126.67759891587502,37.490904375483034],[126.6773478604393,37.491029374434277],[126.67711143097029,37.491171332557293],[126.67689142765525,37.491329169151484],[126.67668952536178,37.491501682771343],[126.67650726107826,37.491687561951579],[126.67634602028068,37.491885390516508],[126.67620702996581,37.492093663752094],[126.67609135063098,37.492310797360282],[126.67599986032451,37.492535137259367],[126.6759332578446,37.492764976729255],[126.67589204789883,37.492998568023324],[126.67587654552125,37.493234131410873],[126.67588686905908,37.493469874956816],[126.67592294004466,37.493704005336504],[126.67598448306728,37.493934738651035],[126.67607103233331,37.494160320303564],[126.67618192703395,37.494379033981716],[126.6763163259138,37.494589213478733],[126.67647320368242,37.49478925979642],[126.67665136673604,37.494977651172526],[126.67684946097249,37.495152952151813],[126.67706597839722,37.495313829859825],[126.67729927063688,37.495459059508704],[126.67754756126374,37.495587535302768],[126.67780896153523,37.495698279565211],[126.6780814816302,37.495790450030341],[126.67836304871291,37.495863343577732],[126.67865151700147,37.495916407121051],[126.67894469381186,37.49594923598881],[126.67924034515271,37.495961580274205],[126.67953622174146,37.49595334591838],[126.6798300714464,37.495924595698725],[126.68011965853562,37.495875548460958],[126.68040277727006,37.49580657831136],[126.68067727460429,37.495718208463586],[126.68094105922393,37.495611113101972],[126.6811921242939,37.495486106720833],[126.68142855994627,37.495344140602626],[126.68164856467475,37.495186295683148],[126.68185046579669,37.495013773676298],[126.68203272635922,37.494827886302218],[126.68219395877168,37.494630049970077],[126.68233293629193,37.494421769629845],[126.68244860217044,37.494204629818874],[126.68254007427774,37.493980284776121],[126.68260665885865,37.493750441409162],[126.68264784839033,37.493516847559647],[126.6826633295903,37.493281283043849]]]}"
6230067,"2017026","2626010800","26260003","부산광역시 동래구3","부산광역시 동래구 온천동(온천초교 부근)",2,2,0,1,0,1,129.073966086567,35.2120362132015,"{""type"":""Polygon"",""coordinates"":[[[129.07726097588201,35.211993325660863],[129.07724387845255,35.211757810544185],[129.07720183528903,35.211524414631697],[129.07713516657302,35.211294913476031],[129.07704438088561,35.211071054916623],[129.07693016718113,35.210854542055472],[129.07679339675025,35.210647021512848],[129.07663510986109,35.210450074587925],[129.07645651101305,35.210265199291534],[129.07625895997333,35.210093801449979],[129.07604396063579,35.209937186739154],[129.07581314756257,35.209796546437481],[129.07556827927382,35.209672951205448],[129.0753112182899,35.209567341431082],[129.07504392001337,35.209480520164732],[129.07476842058352,35.209413149673409],[129.07448681470842,35.209365740912311],[129.07420124692067,35.20933865544346],[129.07391388949796,35.20933209941299],[129.07362692927481,35.209346122821678],[129.07334254896273,35.209380618866405],[129.07306291509514,35.209435324997891],[129.07279015279249,35.209509824149315],[129.07252634039995,35.209603551115507],[129.07227348419892,35.209715791076341],[129.07203350763862,35.20984569055328],[129.07180823932896,35.209992261168807],[129.07159939121721,35.210154387139667],[129.07140855438757,35.210330835245614],[129.07123718161102,35.210520261363826],[129.07108657554062,35.210721225044495],[129.07095788227574,35.210932197705517],[129.07085208384396,35.211151571743166],[129.07076998316717,35.21137767875652],[129.07071220642558,35.211608798530634],[129.0706791944904,35.211843170866601],[129.07067119665595,35.212079012792252],[129.07068827525097,35.212314530222258],[129.07073029924845,35.212547928860189],[129.07079695121237,35.21277743304249],[129.07088772312227,35.213001297514438],[129.07100192312939,35.213217816360164],[129.07113868471887,35.213425342720832],[129.07129696468152,35.213622297839557],[129.0714755586767,35.213807180779895],[129.07167310926519,35.213978586356497],[129.07188811256697,35.214135208658455],[129.07211893062052,35.214275855317752],[129.07236380916581,35.214399458100701],[129.07262088205761,35.214505073755582],[129.07288819353158,35.214591899053353],[129.07316371036069,35.214659274238812],[129.07344533289663,35.214706685594123],[129.07373092046041,35.214733771421734],[129.07401829694618,35.21474032738238],[129.07430527602116,35.214726302561751],[129.07458967332011,35.214691804721504],[129.07486932502064,35.214637094647735],[129.07514210110082,35.214562589583743],[129.07540592720818,35.214468857534357],[129.07565879333148,35.21435661083985],[129.07589877571999,35.214226703183371],[129.07612404889994,35.214080125825255],[129.07633289636459,35.213917992133624],[129.0765237303282,35.213741536422269],[129.07669509810711,35.213552103045089],[129.0768456950193,35.213351131799229],[129.07697437529532,35.213140154173317],[129.07708016051225,35.212920775202882],[129.07716224378984,35.212694663495398],[129.07722000278969,35.212463542042727],[129.07725299712811,35.212229168418069],[129.07726097588201,35.211993325660863]]]}"
6230093,"2017026","2626010900","26260002","부산광역시 동래구2","부산광역시 동래구 사직동(예원초교 부근)",2,2,0,1,1,0,129.057521679883,35.1971816307286,"{""type"":""Polygon"",""coordinates"":[[[129.06081599535969,35.197139205967559],[129.06079895011837,35.196903686651332],[129.06075696309591,35.196670282146044],[129.06069035409828,35.196440770767111],[129.06059963118278,35.196216896833377],[129.06048548287802,35.196000366260883],[129.06034877997683,35.195792825805064],[129.06019056218156,35.195595854219377],[129.06001203351764,35.195410952399655],[129.05981455320114,35.195239525472786],[129.05959962458741,35.195082879336162],[129.0593688817182,35.194942206408527],[129.05912408254477,35.194818575803097],[129.05886708906192,35.194712928176962],[129.05859985621049,35.194626069565679],[129.05832441956264,35.194558658922112],[129.05804287341826,35.19451121110535],[129.0577573618036,35.194484085277509],[129.05747005658637,35.194477488793126],[129.05718314420395,35.194491471960752],[129.05689880700407,35.194525928283312],[129.05661921117454,35.194580594612653],[129.05634648159852,35.194655056881665],[129.05608269630258,35.194748746567527],[129.05582986143125,35.194860952732178],[129.05558990131797,35.194990819442694],[129.05536464116108,35.195137358613415],[129.05515579726435,35.195299456439557],[129.0549649573764,35.195475879056083],[129.05479357429141,35.195665282534158],[129.05464295294587,35.195866227469331],[129.05451423950362,35.196077182724856],[129.05440841291107,35.196296543569268],[129.05432627959033,35.196522641659584],[129.05426846591814,35.196753754151686],[129.05423540982929,35.196988124543154],[129.05422736418879,35.1972239671369],[129.05424439059044,35.197459487856868],[129.05428635953734,35.19769289416331],[129.05435295072581,35.197922410376918],[129.05444365983229,35.19814628841192],[129.05455779555516,35.198362825847731],[129.05469448853083,35.198570373029469],[129.05485269935852,35.198767350999312],[129.05503122427569,35.198952261344282],[129.05522870411173,35.199123695100191],[129.05544363557698,35.199280348839018],[129.05567438454312,35.199421029910987],[129.05591919283967,35.199544667180007],[129.05617619819461,35.199650319786585],[129.05644344425951,35.199737184234685],[129.05671889825325,35.199804597774026],[129.05700046105818,35.199852049091717],[129.05728599244978,35.199879176186435],[129.05757331671563,35.199885772608518],[129.05786024793775,35.199871788037143],[129.05814460209785,35.199837329026202],[129.05842421573652,35.199782657862158],[129.05869695912156,35.199708191491872],[129.0589607580975,35.199614494928589],[129.05921360291154,35.199502282939385],[129.05945356997515,35.19937240894334],[129.05967883387888,35.199225861247385],[129.05988767823885,35.199063755690787],[129.06007851529247,35.19888732637348],[129.06024989228055,35.198697914751058],[129.06040050452017,35.19849696405366],[129.06052920607306,35.198286002916326],[129.06063501835408,35.198066636249209],[129.06071713432894,35.197840535263126],[129.06077493134055,35.197609419270115],[129.06080796876782,35.197375048498998],[129.06081599535969,35.197139205967559]]]}"
6230076,"2017026","3120010300","31200001","울산광역시 북구1","울산광역시 북구 매곡동(매곡초교 부근)",2,3,0,3,0,0,129.351829349346,35.6440723758404,"{""type"":""Polygon"",""coordinates"":[[[129.35514140049699,35.644021392809243],[129.3551233486065,35.643785959732696],[129.35508022764077,35.643552705947755],[129.35501236604756,35.64332340862039],[129.3549202803122,35.643099810453251],[129.35480467263784,35.642883615215695],[129.35466642162788,35.642676467155049],[129.35450657988488,35.642479942922677],[129.35432636373693,35.642295537311306],[129.3541271453193,35.642124655266649],[129.35391044005391,35.641968595856689],[129.35367789879641,35.641828546987007],[129.35343128992398,35.641705574862009],[129.3531724891937,35.641600615129349],[129.35290346854066,35.641514465843301],[129.35262627389918,35.641447783301317],[129.352343014024,35.641401075907837],[129.35205584597912,35.641374697187302],[129.35176695423255,35.641368848811439],[129.35147853618795,35.641383575413563],[129.35119278894541,35.641418764792135],[129.35091188502216,35.641474148283692],[129.35063796365333,35.641549306304341],[129.35037310865755,35.641643665983914],[129.35011933536165,35.64175650857679],[129.34987857419227,35.641886976021951],[129.34965265974384,35.64203407561542],[129.34944330886842,35.642196687555867],[129.34925211646879,35.642373574020702],[129.3490805369801,35.64256339026516],[129.3489298767652,35.642764690144674],[129.34880128234178,35.642975942519378],[129.34869573283717,35.64319553948058],[129.34861403037914,35.643421810919477],[129.34855679806856,35.643653032669576],[129.34852447161751,35.643887447367817],[129.34851729834148,35.644123268976202],[129.34853532990027,35.644358703627077],[129.34857843245422,35.644591959383646],[129.34864627707279,35.644821261713119],[129.34873834770389,35.645044864183546],[129.34885394268574,35.645261066472074],[129.34899218373894,35.645468221441064],[129.34915201858428,35.645664753130383],[129.34933223110315,35.645849166520769],[129.3495314492707,35.64602005643011],[129.34974815767248,35.646176123551498],[129.34998070535747,35.646316179744993],[129.35022732485743,35.646439158566686],[129.35048613681369,35.646544124215914],[129.35075517222865,35.646630278408203],[129.35103238359457,35.646696963812751],[129.3513156617104,35.646743674614378],[129.35160284889611,35.646770054508913],[129.35189176122694,35.646775902673149],[129.35218019739523,35.64676117453061],[129.35246596302872,35.64672598227925],[129.35274688392664,35.646670593785586],[129.35302082039973,35.646595431461705],[129.35328568810877,35.646501065632286],[129.3535394724654,35.646388216114076],[129.35378023942849,35.646257741228958],[129.35400615750592,35.646110633856487],[129.35421550863151,35.645948014051328],[129.35440669789483,35.645771119875079],[129.35457827095593,35.645581296306808],[129.35472892164736,35.645379989713618],[129.35485750374073,35.645168731439327],[129.35496303846261,35.64494912867076],[129.35504472419615,35.644722854369249],[129.35510193826613,35.644491629210989],[129.3551342455971,35.644257214239914],[129.35514140049699,35.644021392809243]]]}"
6229753,"2017026","3611011100","36110001","세종특별자치시 세종특별자치시1","세종특별자치시 세종특별자치시 종촌동(종촌초교 부근)",2,2,0,0,2,0,127.243270434584,36.505096251192,"{""type"":""Polygon"",""coordinates"":[[[127.2466205074892,36.505103413117773],[127.24660852751784,36.504867671108656],[127.24657114278141,36.504633668239642],[127.24650863803365,36.504403187388867],[127.24642149018227,36.504177981176255],[127.24631036049362,36.503959762933214],[127.24617609685694,36.503750194989671],[127.24601972043391,36.503550871519451],[127.24584242121912,36.503363308616869],[127.24564554913255,36.503188935265996],[127.24543060290321,36.503029077092755],[127.24519921668637,36.502884950931133],[127.24495315339949,36.502757653993967],[127.24469428465393,36.502648154818552],[127.2444245796159,36.502557286033777],[127.24414609273984,36.502485740730755],[127.24386094259374,36.502434061601804],[127.24357129734388,36.502402642714351],[127.24327936361688,36.502391723177993],[127.24298736194488,36.502401386191167],[127.24269751337751,36.502431558111113],[127.24241202608759,36.502482009326336],[127.24213307081052,36.502552355104349],[127.24186276966488,36.502642061876607],[127.24160318164894,36.502750445402263],[127.24135628139481,36.502876681537906],[127.24112394687829,36.503019809814177],[127.24090794823202,36.503178740620548],[127.24070992761817,36.503352264173337],[127.24053139249303,36.503539061315976],[127.24037370218859,36.503737708895237],[127.24023805668934,36.503946695960941],[127.24012548766538,36.504164432758252],[127.2400368539675,36.504389260631761],[127.23997282816373,36.504619469122417],[127.23993389872648,36.504853307689928],[127.23992036217749,36.505088994709375],[127.23993232189652,36.505324737300896],[127.23996968695974,36.505558742145091],[127.24003217321133,36.505789226303797],[127.24011930430541,36.506014437056521],[127.24023041948483,36.506232660934039],[127.24036467130126,36.506442235435088],[127.24052103895218,36.50664156618668],[127.24069833270941,36.506829136873208],[127.240895202819,36.507003518274139],[127.24111015061179,36.50716338451889],[127.24134154188515,36.507307518528322],[127.24158761356794,36.507434822851053],[127.24184649379367,36.507544328725409],[127.24211621304741,36.507635203318998],[127.24239471644263,36.50770675336414],[127.24267988490948,36.507758436024474],[127.24296954972512,36.507789857125289],[127.24326150366825,36.50780077748967],[127.24355352559256,36.5077911138941],[127.24384339383316,36.507760939998974],[127.24412889961927,36.50771048547584],[127.24440787165359,36.507640135157693],[127.24467818730851,36.507550422750967],[127.24493778714466,36.507442032667804],[127.24518469617094,36.507315789250804],[127.24541703614499,36.507172653190544],[127.24563303676827,36.50701371433415],[127.24583105581866,36.506840182709816],[127.24600958588725,36.506653377719402],[127.24616726779581,36.506454722754562],[127.24630290181486,36.506245728989924],[127.24641545662315,36.506027986383799],[127.24650407380186,36.505803153768184],[127.24656808128486,36.505572941746124],[127.24660699115637,36.505339100965259],[127.2466205074892,36.505103413117773]]]}"
6229760,"2017026","4111710700","41117001","경기도 수원시 영통구1","경기도 수원시 영통구 망포동(태장초교 부근)",2,3,0,0,2,1,127.054255689749,37.2413075913731,"{""type"":""Polygon"",""coordinates"":[[[127.05763799852545,37.241320275649571],[127.05762650511227,37.241084546634568],[127.05758935788616,37.240850514652529],[127.05752683979691,37.240619962803287],[127.05743942787561,37.240394644248852],[127.05732778538693,37.240176273171556],[127.05719276414496,37.239966513066463],[127.05703539107759,37.239766959567206],[127.05685686376974,37.239579130516695],[127.05665854149257,37.239404456922983],[127.05644193402188,37.239244266695508],[127.05620868813988,37.239099779189921],[127.05596058093484,37.238972094369643],[127.05569949956272,37.238862183719718],[127.05542743001924,37.238770882996633],[127.05514644476457,37.238698888579357],[127.05485868137274,37.238646746575043],[127.05456632787214,37.238614854568794],[127.05427161151688,37.238603455273356],[127.05397677399809,37.238612635535432],[127.0536840579295,37.238642325383772],[127.05339569332256,37.238692298879442],[127.05311387278714,37.238762174922968],[127.0528407402287,37.238851423519904],[127.05257837621043,37.238959363920962],[127.05232877647515,37.239085175355122],[127.05209383952811,37.239227900585398],[127.05187535532421,37.239386453074175],[127.05167498492406,37.239559625916662],[127.05149425366638,37.239746102628402],[127.05133453760648,37.239944462498613],[127.05119705214375,37.240153196768965],[127.05108284294542,37.240370717609778],[127.05099278137278,37.240595368015207],[127.05092755084442,37.24082543887544],[127.0508876490142,37.241059180701114],[127.05087337981742,37.241294812605524],[127.05088485221722,37.241530542129645],[127.0509219790038,37.241764576054045],[127.0509844778485,37.241995131219852],[127.05107187230485,37.242220454364237],[127.05118349963887,37.242438831165529],[127.05131850849702,37.242648597954627],[127.0514758723276,37.242848158894859],[127.05165439382634,37.243035995917218],[127.05185271389865,37.24321067777143],[127.05206932283569,37.243370876297043],[127.05230257381069,37.243515371886332],[127.05255068958063,37.243643064330172],[127.05281178272932,37.243752981911946],[127.05308386690326,37.243844288664555],[127.05336486919767,37.243916288025773],[127.05365265152075,37.243968433738246],[127.05394502526903,37.244000328104221],[127.05423976257302,37.244011728339231],[127.05453462110518,37.244002547568044],[127.05482735761333,37.243972855777351],[127.05511574146483,37.24392287896513],[127.05539757946521,37.243852998331626],[127.05567072717827,37.243763744010707],[127.0559331035804,37.243655796925651],[127.05618271255244,37.243529978050532],[127.05641765530861,37.243387244848378],[127.05663614171733,37.24322868409913],[127.05683651065118,37.243055502958484],[127.05701723681582,37.242869018163056],[127.05717694431084,37.242670650669268],[127.05731441799699,37.242461909467067],[127.05742861256488,37.242244382596716],[127.05751865709777,37.242019727247381],[127.05758386869486,37.24178965267896],[127.05762375027743,37.241555908493552],[127.05763799852545,37.241320275649571]]]}"
6229772,"2017026","4119710200","41197001","경기도 부천시 소사구1","경기도 부천시 소사구 심곡본동(부천남초교 부근)",2,2,0,2,0,0,126.782022384427,37.481717125246,"{""type"":""Polygon"",""coordinates"":[[[126.78541533646921,37.481737696044938],[126.78540466953905,37.481501957956873],[126.78536826149468,37.481267856949856],[126.78530638965644,37.481037176650148],[126.78521952614919,37.480811671200847],[126.78510833006284,37.480593056202387],[126.78497364981818,37.480382997011205],[126.78481650975176,37.48018309153553],[126.78463810568094,37.479994860296486],[126.784439795938,37.479819737363684],[126.78422309021248,37.479659054066659],[126.78398963603023,37.479514033508664],[126.78374121207138,37.479385779713482],[126.78347970790142,37.479275268492685],[126.7832071127339,37.479183340169982],[126.78292550302987,37.479110695903728],[126.78263702111911,37.479057886743583],[126.78234386048837,37.479025315346156],[126.78204825454026,37.479013229598891],[126.78175245172997,37.479021721568792],[126.78145870201185,37.479050726519084],[126.78116924326847,37.479100023727916],[126.78088627643037,37.479169237237556],[126.7806119541146,37.479257842093283],[126.7803483659474,37.47936516244939],[126.78009751697924,37.47949038225152],[126.77986131521543,37.479632548763142],[126.7796415602414,37.479790579703909],[126.77943992278202,37.479963272135002],[126.77925793781284,37.480149313229958],[126.77909699093641,37.480347285595769],[126.77895830691455,37.480555683424036],[126.77884294053058,37.480772921445187],[126.77875177196499,37.480997344812202],[126.77868549305309,37.481227246139724],[126.77864460942678,37.481460877232514],[126.77862943250294,37.481696458048539],[126.77864007815299,37.481932196519416],[126.77867646545872,37.48216629935861],[126.77873831773006,37.482396982884239],[126.77882516343661,37.482622492855093],[126.77893634402929,37.482841113533496],[126.77907101155817,37.48305117939033],[126.77922814207304,37.483251092314852],[126.77940654004665,37.48343933155963],[126.77960484733215,37.483614462811786],[126.77982155431454,37.483775154488988],[126.78005501342984,37.483920183233408],[126.78030344584795,37.484048444772476],[126.78056496174648,37.484158963059343],[126.78083757155545,37.484250897555619],[126.78111919836893,37.484323546915334],[126.78140769933722,37.48437635993406],[126.78170088039469,37.484408933837997],[126.78199650751789,37.484421020663497],[126.7822923316083,37.48441252831082],[126.7825861020651,37.484383521528336],[126.78287558037532,37.484334221093619],[126.78315856501411,37.48426500306239],[126.78343290282356,37.484176392526734],[126.78369650370654,37.484069065504976],[126.78394736222626,37.483943838253992],[126.78418357008728,37.483801663736628],[126.78440332751875,37.483643624476528],[126.78460496372129,37.48347092366523],[126.78478694375738,37.483284874383862],[126.78494788217455,37.483086894274159],[126.78508655446784,37.482878489379821],[126.78520190621036,37.482661245185092],[126.78529305766652,37.482436816724658],[126.78535931752087,37.482206911538519],[126.78540018072047,37.481973277939218],[126.78541533646921,37.481737696044938]]]}"
