"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6302989,"2017050","4729010900","47290002","경상북도 경산시2","경상북도 경산시 옥산동(카페벙커 부근)",4,4,0,2,1,1,128.729484330938,35.8246469598902,"{""type"":""Polygon"",""coordinates"":[[[128.73169800362393,35.824624292489581],[128.73168715157578,35.824467252817506],[128.7316595362789,35.824311580399787],[128.73161536544001,35.82415846044303],[128.73155497597855,35.824009058792221],[128.73147882942911,35.823864511159819],[128.73138750302775,35.823725919611995],[128.7312816927936,35.823594337211553],[128.73116220464414,35.823470766307274],[128.73102994755797,35.823356145983553],[128.7308859269053,35.823251350327105],[128.73073124093239,35.823157175842795],[128.73056706522485,35.82307433890945],[128.73039465041174,35.82300347039569],[128.73021530658838,35.822945110411283],[128.73003040099368,35.822899701119795],[128.72984133923899,35.822867589636381],[128.7296495607726,35.822849020862591],[128.72945652554594,35.822844134017188],[128.72926370192587,35.822852968169471],[128.72907255661184,35.822875454228523],[128.72888454480363,35.822911423157521],[128.72870109794647,35.822960600689335],[128.72852361050826,35.823022611067216],[128.72835343566658,35.823096984300435],[128.72819186645341,35.82318315365125],[128.72804013365516,35.823280462867437],[128.72789939040138,35.823388171747922],[128.72777071003577,35.823505461572125],[128.72765507066219,35.823631437961204],[128.72755335201828,35.823765143530224],[128.72746632886094,35.823905559757307],[128.72739466451819,35.824051619670072],[128.72733890205981,35.824202209737514],[128.72729946785117,35.824356185159395],[128.72727666275068,35.824512373561319],[128.72727065784579,35.824669585856462],[128.72728150124269,35.824826626093063],[128.72730910822622,35.824982299668733],[128.72735327134225,35.825135421341848],[128.72741365390601,35.825284825215185],[128.72748979459251,35.825429375508733],[128.72758111634383,35.825567970075532],[128.72768692328208,35.825699555761005],[128.72780640958999,35.825823130116547],[128.72793866634481,35.825937753952921],[128.72808268818656,35.826042553076682],[128.72823737683271,35.826136730877586],[128.72840155661649,35.826219570876056],[128.72857397678493,35.826290442110356],[128.72875332708011,35.826348804388012],[128.72893824006633,35.826394215475815],[128.72912730990774,35.826426328204022],[128.72931909691036,35.826444897633252],[128.72951214086328,35.826449784524826],[128.72970497313457,35.826440949808045],[128.72989612676196,35.826418462590986],[128.730084146293,35.826382491945644],[128.73026760004785,35.826333312191316],[128.73044509334903,35.82627129915226],[128.73061527284077,35.826196922900074],[128.73077684534977,35.826110750264249],[128.73092857998964,35.826013437596799],[128.73106932357473,35.825905725203647],[128.73119800275126,35.825788431912144],[128.73131363945163,35.825662452206466],[128.7314153540193,35.825528743572313],[128.73150237182128,35.825388324624683],[128.73157402969224,35.825242262418691],[128.73162978475909,35.825091670554919],[128.73166921088099,35.824937693888238],[128.73169200744528,35.824781504830923],[128.73169800362393,35.824624292489581]]]}"
6319031,"2017050","4311110100","43111002","충청북도 청주시 상당구2","충청북도 청주시 상당구 영동(파리바게트 부근)",4,4,1,2,0,1,127.487318246841,36.6366638496579,"{""type"":""Polygon"",""coordinates"":[[[127.48955544244193,36.636664066970191],[127.48954695002129,36.636506925173755],[127.48952149736132,36.636350977268698],[127.48947927568105,36.636197410534372],[127.48942060707016,36.636047394224981],[127.48934594001254,36.635902068751967],[127.48925584043489,36.635762542078041],[127.48915099506168,36.635629874393253],[127.48903220246454,36.635505076312242],[127.4889003663509,36.635389096254322],[127.48875648885164,36.635282818641194],[127.48860166716679,36.635187051277292],[127.4884370779063,36.63510252264539],[127.48826397485458,36.635029876498876],[127.48808367331293,36.634969666452648],[127.48789754786567,36.634922348772292],[127.48770701336687,36.634888285077672],[127.48751352158891,36.634867735131564],[127.48731854221077,36.634860853232375],[127.48712356170266,36.634867693623427],[127.48693006207807,36.634888202377311],[127.4867395164223,36.634922225508838],[127.48655337547412,36.63496950356415],[127.48637305532459,36.635029675224693],[127.48619992735181,36.635102284517096],[127.48603531039404,36.635186778106871],[127.48588045732802,36.635282512507416],[127.48573654500225,36.635388759486467],[127.48560467088147,36.635504711473189],[127.48548583738628,36.635629484259262],[127.4853809485348,36.635762129617838],[127.48529080322976,36.635901637104311],[127.48521608854308,36.636046946674924],[127.48515737076448,36.636196950487509],[127.48511509987016,36.636350508226343],[127.48508959497721,36.636506450705433],[127.48508105104958,36.636663590686673],[127.48508953441795,36.636820732795407],[127.48511497941848,36.636976681633271],[127.48515719174307,36.63713024989228],[127.48521585290814,36.637280268272278],[127.48529051353735,36.637425596298691],[127.4853806078995,36.637565125931296],[127.48548544942845,36.637697796890201],[127.4856042396694,36.637822598461156],[127.48573607498651,36.637938582118899],[127.4858799532732,36.638044863332347],[127.48603477730538,36.6381406341876],[127.48619937040182,36.638225166095864],[127.48637247978014,36.638297815204325],[127.48655278662513,36.638358027807691],[127.48673891951294,36.638405347563051],[127.48692946224494,36.638439412787399],[127.4871229639172,36.638459963671558],[127.48731795122819,36.638466845888296],[127.48751294190721,36.638460005185102],[127.48770644919124,36.638439495498403],[127.48789700308411,36.638405470842052],[127.48808315147809,36.638358190716183],[127.48826347917456,36.638298016502347],[127.4884366112443,36.638225404251095],[127.48860123204632,36.638140907387253],[127.48875608746852,36.638045169496756],[127.4889000005908,36.637938918917861],[127.48903187392419,36.637822963330848],[127.48915070507206,36.637698187053417],[127.48925559008758,36.637565538418443],[127.48934573018461,36.637426027970172],[127.48942043844937,36.63728071584233],[127.48947914878742,36.637130709954697],[127.48952141256713,36.636977150686278],[127.48954690756578,36.636821207269129],[127.48955544244193,36.636664066970191]]]}"
6315518,"2017050","2720010200","27200001","대구광역시 남구1","대구광역시 남구 봉덕동(영대네거리 부근)",6,6,0,2,2,2,128.590625247858,35.8454143914619,"{""type"":""Polygon"",""coordinates"":[[[128.59283960612873,35.845394271749647],[128.59282902351055,35.845237215179324],[128.59280166926291,35.845081506617099],[128.59275775241753,35.844928331511852],[128.59269760464741,35.844778856159515],[128.5926216856632,35.844634217737251],[128.59253057424158,35.844495516272119],[128.59242496150546,35.844363809293725],[128.59230565292609,35.844240096490736],[128.59217355506036,35.844125321636056],[128.59202967533992,35.844020357263538],[128.59187510762825,35.843926001194539],[128.59171102775574,35.843842973875333],[128.59153868447783,35.843771904937228],[128.59135939065692,35.843713335982727],[128.59117450987972,35.843667713495812],[128.59098544863596,35.843635383504612],[128.59079364636943,35.843616592574087],[128.59060056324117,35.843611483409994],[128.59040766685951,35.843620095881185],[128.59021642780596,35.843642363454038],[128.59002829865233,35.843678116988961],[128.58984471284487,35.843727083848528],[128.58966706594762,35.843788892574686],[128.58949671231173,35.843863072016568],[128.58933494633027,35.843949056908748],[128.58918300032445,35.844046195101662],[128.58904202900811,35.844153744996319],[128.58891310745898,35.844270889084754],[128.58879721565557,35.844396736793364],[128.58869523520451,35.844530328117273],[128.58860794290581,35.844670649003874],[128.58853600408372,35.8448166296088],[128.58847996393615,35.844967159699578],[128.5884402509277,35.84512109403348],[128.58841716803968,35.845277260549835],[128.58841088847356,35.845434470325806],[128.58842146243802,35.845591528333202],[128.58844880724237,35.845747238036104],[128.58849271744199,35.845900414822587],[128.58855285827804,35.84604989237554],[128.58862877025044,35.846194533450827],[128.58871987807115,35.846333237009546],[128.58882548747548,35.846464948165305],[128.58894479416387,35.846588664415457],[128.58907689054206,35.846703442793867],[128.58922077251157,35.846808410629812],[128.58937534285252,35.84690277002646],[128.58953942676203,35.846985800426459],[128.58971177425465,35.847056872114919],[128.58989107562792,35.847115443375891],[128.59007596377765,35.847161067685192],[128.59026503309738,35.847193398949273],[128.59045684279064,35.847212190574517],[128.59064993574646,35.847217298902791],[128.59084283969932,35.847208686807498],[128.59103408819618,35.847186418093962],[128.59122222510274,35.847150662867726],[128.5914058178443,35.847101693807588],[128.59158346953896,35.847039882448506],[128.59175382897774,35.846965699991458],[128.59191559830342,35.846879711823355],[128.59206754620018,35.846782570183322],[128.5922085167897,35.846675016784992],[128.59233743830416,35.846557869213065],[128.59245332747821,35.846432018176777],[128.59255530388,35.846298422870625],[128.59264258976194,35.846158100155243],[128.59271452324609,35.846012117223758],[128.59277055602112,35.845861585310551],[128.5928102598464,35.845707649713837],[128.59283333530763,35.845551482502756],[128.59283960612873,35.845394271749647]]]}"
6315519,"2017050","2720010300","27200002","대구광역시 남구2","대구광역시 남구 대명동(+갓바위 산골 순두부보쌈 부근)",4,4,0,2,0,2,128.590534662746,35.8538101014559,"{""type"":""Polygon"",""coordinates"":[[[128.5927492551578,35.853789979060373],[128.59273867225969,35.85363292180287],[128.59271131487068,35.853477213481462],[128.59266739204659,35.853324039543246],[128.59260723878211,35.853174563547562],[128.59253131155344,35.853029925404165],[128.59244018920018,35.852891225137938],[128.59233456509733,35.852759517551796],[128.59221524373254,35.852635805046589],[128.59208313285484,35.852521030481448],[128.59193923778889,35.852416066408018],[128.59178465252734,35.852321711546878],[128.59162055520306,35.8522386836175],[128.59144819474142,35.852167614953338],[128.59126888191716,35.852109046273419],[128.59108398046149,35.852063424059587],[128.59089490033486,35.852031094307797],[128.59070307781141,35.852012303611303],[128.59050997321867,35.852007195575496],[128.59031705760458,35.852015807333068],[128.59012579731348,35.852038075093461],[128.58993764837962,35.852073828784143],[128.58975404329254,35.85212279577653],[128.58957637887028,35.85218460460154],[128.58940600628401,35.852258784137625],[128.58924422339652,35.852344769990047],[128.58909226151374,35.85244190731445],[128.5889512766143,35.852549457205996],[128.58882234055375,35.852666601285286],[128.58870643673433,35.85279244894879],[128.58860444686641,35.852926041093433],[128.58851714557883,35.853066360982865],[128.58844519830112,35.8532123414778],[128.58838915360883,35.853362872316623],[128.58834943665107,35.853516805583418],[128.58832635047614,35.85367297192316],[128.58832007051646,35.853830182394354],[128.58833064583987,35.853987239276044],[128.58835799488926,35.854142948728366],[128.58840190996958,35.854296125259822],[128.5884620562847,35.854445602555224],[128.58853797760622,35.8545902433424],[128.58862909527411,35.854728947516094],[128.58873471491174,35.854860657487713],[128.58885403438467,35.854984373441113],[128.58898614598914,35.855099151510998],[128.5891300421973,35.855204119058939],[128.58928462899428,35.855298478160329],[128.5894487303448,35.855381508270021],[128.58962109723777,35.85545257966529],[128.58980041650975,35.855511150662529],[128.58998532423368,35.855556774709413],[128.59017441354689,35.855589105724484],[128.59036624460785,35.855607897105941],[128.59055935684191,35.855613006129026],[128.59075228222062,35.855604392924242],[128.59094355085128,35.855582124032921],[128.59113170643403,35.855546368660526],[128.59131531956538,35.855497399456887],[128.59149298989482,35.855435587988097],[128.59166336607149,35.855361405456087],[128.59182515231691,35.855275417228228],[128.59197711718647,35.855178275544077],[128.59211810246651,35.855070722137782],[128.59224703627754,35.854953574593992],[128.59236293746656,35.854827723601787],[128.59246492441554,35.85469412926679],[128.59255222036674,35.854553805734696],[128.59262416119671,35.854407822922454],[128.59268019852576,35.854257291162099],[128.59271990739194,35.854103355720518],[128.59274298502936,35.853947188695813],[128.5927492551578,35.853789979060373]]]}"
6315828,"2017050","2723010100","27230005","대구광역시 북구5","대구광역시 북구 칠성동1가(금강장어 부근)",6,6,0,2,4,0,128.602506744492,35.8765050931364,"{""type"":""Polygon"",""coordinates"":[[[128.60472195862189,35.87648473905837],[128.60471134681944,35.876327684820623],[128.60468395820254,35.876171980344886],[128.6046399987506,35.876018811079327],[128.60457980377439,35.875869343245149],[128.60450383334461,35.875724713962086],[128.60441266331537,35.87558602321797],[128.60430698855694,35.875454327529049],[128.60418761394271,35.875330629205543],[128.60405544760204,35.87521586920257],[128.60391149417401,35.875110919971164],[128.60375685143416,35.875016581884566],[128.60359269463893,35.874933572564878],[128.60342027424892,35.874862522397677],[128.6032409003995,35.874803972872883],[128.60305594060046,35.874758370296256],[128.60286680083476,35.8747260605546],[128.60267492225159,35.874707290048562],[128.6024817622785,35.874702201358836],[128.60228879352982,35.874710834158037],[128.60209748271669,35.874733121798229],[128.60190928627014,35.874768894956986],[128.60172563704157,35.874817880857549],[128.60154793218467,35.874879707887025],[128.60137752317817,35.874953904785428],[128.60121570814985,35.875039906124378],[128.60106371867502,35.875137058737728],[128.6009227109422,35.875244623604345],[128.60079375695571,35.875361780435014],[128.60067784025495,35.875487638528924],[128.60057584156536,35.875621240509908],[128.6004885388968,35.875761569536557],[128.60041659435072,35.87590755663431],[128.60036055648234,35.87605809149116],[128.60032085373979,35.876212028827929],[128.6002977857122,35.876368196591365],[128.60029152880145,35.876525405819024],[128.60030213193753,35.876682461496785],[128.60032951331431,35.876838167096508],[128.60037346388322,35.87699133716611],[128.60043365192962,35.877140808106731],[128.6005096175563,35.877285440027229],[128.60060078176582,35.877424132889907],[128.60070645317867,35.877555831859411],[128.60082582591545,35.877679534536021],[128.60095799298682,35.877794298046666],[128.60110194644236,35.877899249863958],[128.60125659181941,35.87799359128136],[128.6014207526739,35.878076604585758],[128.60159317950479,35.878147657484845],[128.60177255870434,35.878206209337272],[128.60195752588947,35.878251813736426],[128.6021466737451,35.878284124750266],[128.60233856198377,35.878302895929323],[128.60253172958309,35.878307983801214],[128.60272470813069,35.878299351354727],[128.60291602618395,35.878277062590541],[128.60310423039343,35.878241287736458],[128.60328788656437,35.878192299630918],[128.60346559843958,35.878130469943663],[128.60363601103802,35.878056270045583],[128.60379782939944,35.877970264524613],[128.60394982076423,35.87787310845961],[128.60409082999402,35.877765540966422],[128.60421978172536,35.877648380668766],[128.60433569577637,35.877522518342587],[128.60443769041927,35.877388913278345],[128.60452498887463,35.877248582400938],[128.60459692585533,35.87710259299589],[128.60465295632517,35.876952055415032],[128.60469265209792,35.876798117697376],[128.60471571046992,35.876641949260929],[128.60472195862189,35.87648473905837]]]}"
6315832,"2017050","2723010200","27230013","대구광역시 북구13","대구광역시 북구 칠성동2가(광진직물 부근)",4,4,0,1,1,2,128.591185902309,35.8854863094465,"{""type"":""Polygon"",""coordinates"":[[[128.59340137564644,35.885466160235183],[128.59339078450381,35.885309104857591],[128.59336341331439,35.885153397705203],[128.59331947123943,35.885000224216121],[128.59325929014273,35.884850750673984],[128.59318332998973,35.884706114242135],[128.59309216987097,35.884567414932405],[128.59298650126652,35.884435709356538],[128.59286713011079,35.884311999889974],[128.59273496339927,35.884197227582639],[128.59259100908844,35.884092264948947],[128.59243636164604,35.883997912494465],[128.59227219745944,35.883914887038955],[128.59209976597521,35.88384382179845],[128.59192038069048,35.883785255649741],[128.59173540589987,35.883739635956886],[128.59154624880819,35.883707308726706],[128.5913543495889,35.883688520503149],[128.59116116914086,35.883683413971305],[128.59096817581207,35.883692028980079],[128.59077684092293,35.883714298976443],[128.59058861777311,35.883750054802462],[128.59040494052488,35.883799023803242],[128.59022720543729,35.88386083450451],[128.59005676752139,35.883935014838933],[128.58989492184747,35.884021002231869],[128.58974290129453,35.884118140915781],[128.58960186119216,35.884225692886993],[128.58947287710569,35.884342837924279],[128.58935692948913,35.884468685446862],[128.58925490041048,35.884602278148861],[128.58916756700353,35.884742599269735],[128.58909559491806,35.884888579864779],[128.58903952960432,35.885039109701715],[128.5889997997194,35.885193043539722],[128.58897670726589,35.88534920933197],[128.58897042883163,35.885506418131129],[128.58898101019571,35.88566347495653],[128.58900837303256,35.885819183241139],[128.5890523084347,35.885972357512372],[128.58911248259594,35.886121834159731],[128.58918843572496,35.886266473248462],[128.58927959223408,35.886405174656133],[128.58938525748775,35.886536883512726],[128.58950462674878,35.886660596431518],[128.58963679198391,35.886775373169236],[128.5897807485342,35.886880338370013],[128.58993539861115,35.886974694157118],[128.59009956684267,35.88705772269801],[128.59027200256395,35.887128791594442],[128.59045139541431,35.887187360053105],[128.59063637759203,35.887232981571138],[128.59082554277563,35.887265310076167],[128.59101744943806,35.887284098995593],[128.5912106397314,35.887289204691811],[128.59140364064797,35.887280590058282],[128.59159498499741,35.887258318919642],[128.59178321591546,35.887222561399923],[128.59196690011152,35.887173590195403],[128.59214464000763,35.887111776857381],[128.59231508372389,35.88703759260197],[128.59247693274858,35.886951601928331],[128.5926289551962,35.88685445979219],[128.5927699945843,35.886746905213613],[128.59289897862197,35.886629755786217],[128.59301492360402,35.886503904931025],[128.59311694863771,35.886370309143615],[128.59320427561687,35.886229986189868],[128.59327624235218,35.886084003264727],[128.59333230026644,35.885933470701147],[128.5933720209641,35.885779536499832],[128.5933951048668,35.885623370021762],[128.59340137564644,35.885466160235183]]]}"
6315831,"2017050","2723010500","27230002","대구광역시 북구2","대구광역시 북구 고성동3가(고성네거리 부근)",7,7,0,0,5,2,128.581393032563,35.8842104637428,"{""type"":""Polygon"",""coordinates"":[[[128.58360847723378,35.884190495759945],[128.58359790564424,35.884033439147444],[128.58357055407444,35.883877729390264],[128.58352663042859,35.883724551956441],[128.58346646974496,35.883575073129478],[128.58339052851895,35.883430430143079],[128.58329938680478,35.883291723049027],[128.58319373594253,35.883160008518104],[128.58307438173154,35.883036288994091],[128.58294223103832,35.882921505603349],[128.58279829169771,35.882816530944787],[128.58264365806335,35.882722165615405],[128.58247950641763,35.882639126532936],[128.58230708609938,35.882568046115601],[128.58212771055761,35.882509466053342],[128.58194274396379,35.882463830217048],[128.58175359350938,35.882431488335286],[128.58156169928054,35.882412684366059],[128.5813685221506,35.8824075620158],[128.58117553044212,35.882416161253538],[128.58098419435561,35.882438415656523],[128.58079597050221,35.882474155253931],[128.58061228977158,35.882523110241813],[128.58043454950797,35.88258490564349],[128.58026410481082,35.882659073107206],[128.58010225076515,35.882745047458563],[128.57995022032605,35.882842173930854],[128.57980916889818,35.882949714613183],[128.57968017213324,35.883066849370415],[128.57956421058151,35.883192687699925],[128.57946216641704,35.883326272365764],[128.57937481688836,35.883466586668582],[128.57930282776809,35.883612561715672],[128.5792467446359,35.883763087316815],[128.57920699628448,35.883917018263574],[128.57918388485703,35.884073182531132],[128.57917758708581,35.884230391183856],[128.57918814889686,35.88438744924197],[128.57921549210135,35.884543159227874],[128.57925940797793,35.884696338353478],[128.57931956281985,35.884845819372444],[128.57939549703201,35.88499046591555],[128.579486635134,35.885129175106378],[128.57959228264258,35.885260892917017],[128.57971163495569,35.885384615892612],[128.57984378416896,35.885499403713389],[128.57998772574564,35.885604380939206],[128.58014236201114,35.88569874960163],[128.58030651769843,35.885781791770292],[128.58047894223833,35.88585287494309],[128.58065832534297,35.885911457316809],[128.58084329932157,35.885957094979915],[128.58103245677057,35.885989439049794],[128.58122435953666,35.886008242805339],[128.58141754652354,35.886013365223612],[128.58161054580734,35.886004765461607],[128.58180189025916,35.885982510829919],[128.58199012297732,35.885946768629317],[128.58217381065731,35.885897811439449],[128.58235155573166,35.885836013402461],[128.58252200624409,35.88576184292058],[128.5826838636435,35.885675865289485],[128.58283589598048,35.885578735365613],[128.58297694669736,35.88547119207611],[128.58310594341714,35.885354052928761],[128.58322190233778,35.88522821126621],[128.58332394246059,35.885094623514206],[128.58341128556447,35.884954307377313],[128.58348326932506,35.884808329097361],[128.58353934396476,35.884657801679374],[128.5835790842261,35.884503869455919],[128.58360218711633,35.884347705402021],[128.58360847723378,35.884190495759945]]]}"
6302790,"2017050","2723010600","27230007","대구광역시 북구7","대구광역시 북구 침산동(침산네거리 부근)",6,6,0,0,4,2,128.592597134651,35.8880961735005,"{""type"":""Polygon"",""coordinates"":[[[128.59481268027361,35.888075996766858],[128.59480208586328,35.887918941635689],[128.59477471199347,35.887763234925437],[128.59473076453108,35.887610062101082],[128.59467057869574,35.887460589411006],[128.59459461447656,35.88731595311058],[128.5945034477173,35.887177255938347],[128.59439777322632,35.887045551762071],[128.59427839588744,35.886921843858069],[128.59414622383849,35.886807072352866],[128.59400226179903,35.886702112482396],[128.59384760757317,35.886607762003564],[128.59368343650465,35.886524738632609],[128.59351099918763,35.886453674658156],[128.59333160588605,35.886395111675043],[128.59314662422079,35.886349493394107],[128.59295746037824,35.886317168519007],[128.59276555458325,35.886298383575756],[128.59257236776014,35.886293279428486],[128.59237936942546,35.886301896799232],[128.59218802761055,35.8863241682458],[128.59199979900711,35.886359926365067],[128.59181611671133,35.88640889849475],[128.59163837698358,35.886470710439319],[128.59146793491959,35.886544893720895],[128.59130608558419,35.88663088304493],[128.5911540618967,35.88672802353063],[128.5910130191981,35.886835576259209],[128.5908840331106,35.8869527237011],[128.5907680840663,35.88707857255978],[128.59066605415654,35.88721216642066],[128.59057872050909,35.887352487612901],[128.59050674881254,35.887498469888776],[128.59045068447713,35.887649000305707],[128.59041095616499,35.887802934519918],[128.59038786697448,35.887959100471669],[128.59038159015378,35.888116309242463],[128.59039217587994,35.88827336491029],[128.59041954139619,35.888429072753084],[128.59046348108956,35.88858224727155],[128.5905236599765,35.888731722165836],[128.59059961827896,35.888876361113518],[128.59069078033303,35.88901506129568],[128.5907964514733,35.889146768753086],[128.59091582691769,35.889270480109708],[128.59104799858596,35.889385255134137],[128.59119196177025,35.88949021848353],[128.59134661863141,35.889584572295199],[128.59151079374584,35.889667598751714],[128.59168323639631,35.889738665470659],[128.591862636157,35.88979723077383],[128.5920476252106,35.88984285087988],[128.59223679714628,35.889875177029694],[128.59242871149331,35.889893962658526],[128.5926219070675,35.889899066881441],[128.5928149140864,35.889890448974057],[128.59300626425485,35.88986817639492],[128.59319450062725,35.889832416581534],[128.59337818987146,35.889783442247669],[128.59355593551595,35.889721627655803],[128.59372638228507,35.889647441364318],[128.59388823497122,35.889561448759153],[128.59404026055319,35.889464304820848],[128.59418130363247,35.889356748573014],[128.5943102885752,35.889239597652235],[128.59442623498416,35.889113745460705],[128.59452826084799,35.888980148514257],[128.594615589162,35.888839824577509],[128.59468755439943,35.888693839981606],[128.59474361134653,35.888543307739539],[128.59478333156551,35.888389372250607],[128.59480641220398,35.888233205613311],[128.59481268027361,35.888075996766858]]]}"
6315829,"2017050","2723010600","27230011","대구광역시 북구11","대구광역시 북구 침산동(북침산네거리 부근)",4,4,0,3,1,0,128.589585469695,35.8918111946318,"{""type"":""Polygon"",""coordinates"":[[[128.59180112090229,35.891791071658261],[128.59179053174518,35.891634016261818],[128.59176316117623,35.891478308889312],[128.59171921724433,35.891325134990623],[128.59165903514221,35.891175660822299],[128.59158307152813,35.891031023582649],[128.59149190551904,35.890892323289627],[128.59138623196708,35.890760617433756],[128.59126685238468,35.890636905735327],[128.59113467829101,35.890522131918537],[128.59099071438413,35.890417168539393],[128.59083605516759,35.89032281341165],[128.59067188048272,35.890239786944221],[128.5904994364916,35.89016871879199],[128.59032003793149,35.890110150541375],[128.59013504918553,35.890064528670898],[128.58994587756476,35.890032199203993],[128.5897539633531,35.890013408701606],[128.58956076756374,35.890008299866203],[128.58936775866104,35.890016912564136],[128.58917640697649,35.890039180270101],[128.58898816814437,35.890074933823506],[128.58880447533863,35.890123900596834],[128.58862672604445,35.890185709122683],[128.5884562731863,35.890259888271807],[128.58829441301879,35.890345872771007],[128.58814237747288,35.890443010483779],[128.58800132525778,35.890550559784849],[128.58787232875318,35.890667703200869],[128.58775636850737,35.890793550163394],[128.58765432996265,35.890927140643299],[128.5875669870467,35.891067460624491],[128.58749500546958,35.891213440269482],[128.58743893406844,35.89136396932323],[128.58739919823196,35.891517902580865],[128.58737610111581,35.89167406799001],[128.58736981934345,35.891831276606219],[128.58738039871915,35.891988333450215],[128.58740776093271,35.892144041954836],[128.58745169709371,35.892297217547288],[128.58751187224553,35.892446693919553],[128.58758782994107,35.892591333806386],[128.58767899123086,35.892730036207936],[128.58778466144278,35.892861746246552],[128.58790403912937,35.892985461397956],[128.58803621284122,35.893100238734412],[128.58818017789199,35.893205205592984],[128.58833483974334,35.893299564054253],[128.58849901958172,35.893382593597899],[128.58867146779863,35.893453664505444],[128.58885087281823,35.893512235076912],[128.58903586895326,35.893557858773292],[128.58922504866825,35.893590189515692],[128.58941697143325,35.893608980704407],[128.58961017707077,35.893614088704602],[128.58980319356391,35.893605476382135],[128.58999455360384,35.893583207544062],[128.59018280020689,35.8935474522969],[128.59036649996293,35.893498483319618],[128.59054425517562,35.893436672146585],[128.59071471384857,35.893362489977441],[128.5908765762606,35.893276502206987],[128.59102861370238,35.893179361041234],[128.59116966629927,35.893071808220512],[128.59129866165998,35.892954661325049],[128.59141461927098,35.892828811028991],[128.59151665375765,35.892695216561386],[128.59160399135234,35.892554894736378],[128.59167596647001,35.892408912770527],[128.59173203048204,35.89225838189089],[128.5917717582243,35.892104447357745],[128.59179484678708,35.89194828126228],[128.59180112090229,35.891791071658261]]]}"
6315833,"2017050","2723010600","27230014","대구광역시 북구14","대구광역시 북구 침산동(오봉오거리 부근)",4,4,0,0,4,0,128.585102779171,35.8903523386904,"{""type"":""Polygon"",""coordinates"":[[[128.58731839230188,35.890332298964736],[128.58730781224685,35.890175242076751],[128.5872804521272,35.890019534375384],[128.58723651766812,35.889866358635537],[128.58717634400264,35.889716882029226],[128.58710039102741,35.889572240841837],[128.58700923450044,35.889433537848909],[128.58690356915241,35.889301826962573],[128.58678419979751,35.88917811151029],[128.58665203451298,35.889063331675985],[128.58650807796667,35.888958362758913],[128.58635342792113,35.888864002584938],[128.58618925968824,35.888780968944019],[128.58601682384065,35.888709894202961],[128.58583743063093,35.888651320038413],[128.58565244767959,35.88860569024645],[128.58546328118263,35.88857335361822],[128.5852713724928,35.88855455675921],[128.58507817924175,35.888549440654174],[128.5848851743097,35.888558046086189],[128.58469382467055,35.888580305713809],[128.58450558707534,35.888616052223938],[128.58432189468871,35.888665013042647],[128.5841441449557,35.888726814050372],[128.58397368973317,35.888800986882529],[128.58381182750097,35.888886966294038],[128.58365979016878,35.888984097489661],[128.58351873318139,35.88909164162115],[128.58338973226967,35.889208781224561],[128.58327376797862,35.889334623062915],[128.58317172251552,35.889468210775071],[128.5830843731265,35.889608526736993],[128.5830123856199,35.889754504740843],[128.58295630552632,35.889905031876459],[128.58291656273562,35.890058963815136],[128.58289345712907,35.890215127642968],[128.58288716543154,35.890372337125093],[128.58289773678877,35.890529393646737],[128.58292508967332,35.890685103370657],[128.58296901525352,35.890838280813327],[128.5830291819683,35.890987759622732],[128.5831051290119,35.891132402555051],[128.58319628084325,35.891271109458742],[128.58330194283778,35.891402823625839],[128.58342131029539,35.89152654253067],[128.58355347519657,35.891641325884386],[128.58369743288517,35.891746298280843],[128.58385208556379,35.891840661788407],[128.58401625784069,35.891923698515882],[128.58418870012804,35.8919947759926],[128.58436809868795,35.892053352488588],[128.584553089027,35.892098984107143],[128.58474226360468,35.892131321110213],[128.58493418196699,35.892150119547864],[128.58512738286214,35.892155235740148],[128.58532039758754,35.892146629763026],[128.58551175446178,35.892124368112832],[128.58569999984033,35.892088620811329],[128.58588369917769,35.892039657789546],[128.5860614559378,35.891977854125393],[128.58623191476045,35.891903678293964],[128.58639378034621,35.891817695601659],[128.58654581957563,35.891720560953502],[128.5866868769464,35.891613013302567],[128.58681587671583,35.891495870219806],[128.58693183837377,35.891370025047856],[128.5870338797929,35.89123643424918],[128.58712122383764,35.891096114640099],[128.58719320489857,35.890950135216315],[128.58724927760443,35.890799606254078],[128.5872890134099,35.89064567302912],[128.58731210934397,35.890489507622675],[128.58731839230188,35.890332298964736]]]}"
