기간	자치구	합계	합계	지역아동센터	지역아동센터	아동상담소	아동상담소
기간	자치구	시설수	이용자수	시설수	이용자수	시설수	이용자수
2016	서울시	423	11,430	422	11,380	1	50
2016	종로구	12	301	12	301	-	-
2016	중구	5	160	5	160	-	-
2016	용산구	6	146	6	146	-	-
2016	성동구	12	327	12	327	-	-
2016	광진구	17	455	17	455	-	-
2016	동대문구	13	383	13	383	-	-
2016	중랑구	26	705	25	655	1	50
2016	성북구	26	780	26	780	-	-
2016	강북구	22	487	22	487	-	-
2016	도봉구	18	552	18	552	-	-
2016	노원구	18	449	18	449	-	-
2016	은평구	27	805	27	805	-	-
2016	서대문구	8	221	8	221	-	-
2016	마포구	11	329	11	329	-	-
2016	양천구	23	611	23	611	-	-
2016	강서구	19	399	19	399	-	-
2016	구로구	21	511	21	511	-	-
2016	금천구	27	817	27	817	-	-
2016	영등포구	16	480	16	480	-	-
2016	동작구	23	536	23	536	-	-
2016	관악구	29	885	29	885	-	-
2016	서초구	6	114	6	114	-	-
2016	강남구	2	59	2	59	-	-
2016	송파구	16	419	16	419	-	-
2016	강동구	20	499	20	499	-	-
